,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
SUBJECT,BCBUTE02,BCCICP02,BCEMFT02,BCOBLV02,BCSPFT02,BRBUFT02,BRBUTE02,BRCICP02,BREMFT02,BRODFT02,BRVSLV02,BSCICP02,BSEMFT02,BSFGLV02,BSOBLV02,BSPRFT02,BSPRTE02,BSSPFT02,BSXRLV02,BVBUTE02,BVCICP02,BVDEFT02,BVDETE02,BVEMFT02,BVEMTE02,CCEUSP01,CCRETT01,CCUSMA02,CCUSSP01,CP010000,CP020000,CP030000,CP040000,CP040100,CP040200,CP040300,CP040400,CP040500,CP050000,CP060000,CP070000,CP070200,CP080000,CP090000,CP100000,CP110000,CP120000,CPALTT01,CPGREN01,CPGRGO01,CPGRHO01,CPGRHO02,CPGRLE01,CPGRLH01,CPGRLH02,CPGRSE01,CPHP0100,CPHP0200,CPHP0300,CPHP0400,CPHP0401,CPHP0403,CPHP0404,CPHP0405,CPHP0500,CPHP0600,CPHP0700,CPHP0702,CPHP0800,CPHP0900,CPHP1000,CPHP1100,CPHP1200,CPHPEN01,CPHPLA01,CPHPSE01,CPHPTT01,CSCICP02,CSESFT,CSESFT02,CSINFT,CSINFT02,IR3TIB01,IRLTLT01,IRSTCI01,LCEAMN01,LCEAMN02,LCEAPR02,LCEATT02,LFHU24FE,LFHU24MA,LFHU24TT,LFHUADFE,LFHUADMA,LFHUADTT,LFHUTTFE,LFHUTTMA,LFHUTTTT,LMJVTTUV,LMUNRLTT,LMUNRRTT,LOCOBPNO,LOCOBPOR,LOCOCINO,LOCOCIOR,LOCOS3NO,LOCOS3OR,LOCOSPNO,LOCOSPOR,LOCOSTNO,LOCOSTOR,LOCOVRNO,LOLITOAA,LOLITONO,LOLITOTR,LORSGPNO,LORSGPRT,LORSGPTD,LRHU24FE,LRHU24MA,LRHU24TT,LRHUADFE,LRHUADMA,LRHUADTT,LRHUTTFE,LRHUTTMA,LRHUTTTT,MABMM301,MANMM101,PIEAEN01,PIEAEN02,PIEAFD01,PIEAFD02,PIEAMI01,PIEAMI02,PIEAMP01,PIEAMP02,PIEATI01,PIEATI02,PITGCD01,PITGCD02,PITGCG01,PITGCG02,PITGIG01,PITGIG02,PITGND01,PITGND02,PITGVG01,PITGVG02,PRCNTO01,PREND401,PRINTO01,PRMITO01,PRMNCG01,PRMNCG02,PRMNCG03,PRMNIG01,PRMNTO01,PRMNVG01,SLRTCR03,SLRTTO01,SLRTTO02,SPASTT01,XTEXVA01,XTIMVA01
TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,0.6,-3.9,-5.4,-2.5,-2.8,-2.9,16.4,-3.3,3.0,12.0,23.4,-8.3,-16.9,15.4,-13.7,4.1,-2.9,28.2,1.7,,,,,,,,95.17906829220391,33.51588616020431,1.6828,31.0,16.25,105.2,25.85,23.299999999999997,28.712033195020748,25.599999999999998,19.7,19.599999999999998,38.800000000000004,25.85,24.05,21.3,53.150000000000006,42.300000000000004,10.95,22.0,28.4,29.15,19.98309258456112,37.75,25.81889952153111,23.64467424382942,33.00618908445072,,,23.72105263157895,,,,,,,,,,,,,,,,,,,,,53.5516751269036,-14.9,-17.7,-17.7,50.2,50.2,15.19837,10.89,14.91,27.75547003677632,37.56666161708685,39.2694063926941,39.501724137931,246.0,359.0,605.5,563.5,809.0,1372.0,809.0,1168.0,1977.0,185400.0,1646.45,5.449999999999999,99.27357723301901,4.1,98.09636096408079,-14.9,,,100.47588374441798,49.72054896,101.50821474854,15.19837,101.54516349654399,99.44363788119409,99.48796531940908,29.719901305263974,101.955135990632,102.137155576852,58.874019888169606,8.95,11.0,10.100000000000001,5.85,6.15,6.0,6.55,7.15,6.9,107013.48780089272,56063.21127532794,,,,,,,,33.09507223972621,,,,,,,,,,,,,,95.2872528782819,64.38053910530917,178.932045019462,,119.0302743219155,93.5776432403685,100.62861400863349,62.944861805003086,79.4280842375035,57.27331079422853,29.246909922183193,41.05667228383945,30.5359405721193,9.445748263118462,3.6902080462000204
1990-02-01,-0.1,-4.4,-6.2,-2.7,-4.9,6.5,5.4,-1.2,22.6,12.8,15.5,-12.4,-17.4,13.8,-19.1,-4.3,-3.2,22.5,-1.8,,,,,,,,97.56775247114041,31.36052742996158,1.6847,31.549999999999997,16.349999999999998,106.45,26.35,23.35,29.761340206185572,26.0,19.7,19.3,39.1,25.6,24.4,20.15,53.4,42.45,11.25,22.15,28.45,29.599999999999998,19.235421289199095,38.05,26.36861575178998,23.658894281849577,33.1123732992944,,,24.16492146596858,,,,,,,,,,,,,,,,,,,,,53.89583756345179,-17.6,-21.9,-21.9,47.8,47.8,15.149220000000001,11.33,14.86,28.03318762534958,37.9213410710519,39.5955642530985,39.9557669441142,248.0,362.0,610.0,563.0,807.5,1370.5,810.0,1170.5,1980.5,183100.0,1636.35,5.449999999999999,99.2271694686878,-4.3,97.82611382427808,-17.6,,,100.369126314214,48.23282137,101.55102176542499,15.149220000000001,101.41724857540001,99.263457146093,99.3221402532739,29.616960001791288,101.962613053125,102.145415795192,58.957963319715795,9.05,11.15,10.2,5.85,6.15,6.0,6.6,7.15,6.9,107908.18188373477,56448.18302121948,,,,,,,,33.167343221960756,,,,,,,,,,,,,,95.2872528782819,63.293019627836465,163.690603511572,,113.2604474596995,91.84794214398968,98.99517798151196,62.399394422831165,80.8527144209732,47.09770511299416,29.88701423513854,41.36579383205461,23.57161821029075,14.940425366291802,4.42719076900662
1990-03-01,-0.4,-4.8,-6.8,-2.7,-6.8,5.8,13.0,0.0,22.3,16.2,18.7,-16.1,-17.8,19.5,-24.0,-4.8,-3.3,24.9,0.0,,,,,,,,94.57857214792108,33.384163239585114,1.6428,31.700000000000003,16.5,107.3,26.1,23.35,29.36530612244898,26.25,19.7,19.35,39.7,26.400000000000002,24.450000000000003,19.599999999999998,53.3,42.65,11.3,22.25,28.8,29.650000000000002,19.016629537441425,38.35,26.027895981087475,23.753295635786305,33.843122129985055,,,24.065625000000004,,,,,,,,,,,,,,,,,,,,,54.102335025380704,-25.3,-33.0,-33.0,51.0,51.0,15.31676,12.42,14.82,29.38962912749423,38.3079285397262,39.530332681017605,40.2152199762188,244.0,357.0,601.0,559.0,804.0,1363.5,803.5,1162.0,1965.0,183750.0,1615.35,5.4,99.20938505301879,-4.8,97.54817957535231,-25.3,,,100.24653721617901,47.2152451,101.581492880072,15.31676,101.29865211874301,99.0913914877042,99.1637837055225,29.51772338523769,101.942508820762,102.12320733971,59.039281209586804,8.95,11.05,10.100000000000001,5.75,6.1,6.0,6.5,7.1,6.800000000000001,109707.94689245563,56913.635578788126,,,,,,,,33.42034847366376,,,,,,,,,,,,,,85.328490107155,68.81657007310845,183.14512641188702,,122.2453983809105,98.76777310187695,104.38650058678715,68.60288221585738,90.6081322734358,57.32563991215513,29.936591328901127,41.88379695127545,21.254634629883192,5.04139090953863,7.3065407164825595
1990-04-01,-8.3,-9.9,-6.1,-13.7,-16.5,5.2,15.0,2.0,22.0,10.8,14.3,-10.1,-22.2,15.7,-18.2,3.6,-6.7,29.4,-4.2,,,,,,,,96.76201766347809,32.60821798962767,1.636,31.8,18.5,108.85000000000001,29.15,25.45,30.904865424430646,26.15,20.5,19.8,39.800000000000004,26.25,25.150000000000002,21.5,53.2,43.349999999999994,11.350000000000001,23.65,28.400000000000002,31.05,20.06258683867171,39.050000000000004,29.1664319248826,25.318087750202547,35.66821122952025,,,26.48134715025905,,,,,,,,,,,,,,,,,,,,,55.1348223350254,-23.1,-30.7,-30.7,50.3,50.3,15.257439999999999,12.74,14.83,28.721546274545542,38.95305549799426,40.3131115459883,40.7341260404281,240.5,353.5,594.5,559.5,801.5,1360.5,800.5,1154.5,1955.0,195400.0,1598.25,5.300000000000001,99.20124196555109,3.6,97.3729410456162,-23.1,,,100.12508211677,46.01414392,101.599673458563,15.257439999999999,101.182238886187,98.958127141273,99.0411370249658,29.44278468518715,101.872069290413,102.04543329795901,59.1181026666294,8.9,10.95,10.05,5.75,6.1,5.95,6.45,7.05,6.85,110508.81960929168,57188.06233852135,,,,,,,,34.21258486685936,,,,,,,,,,,,,,78.3120890638611,63.78503434383151,159.97317875355,,118.790729991784,94.17129536960181,98.26871975424385,63.07152670869822,80.04748625963894,46.504117400149234,28.77250737405409,42.4032486250803,19.657316855930638,14.870658804405698,5.8495374330690995
1990-05-01,-9.1,-10.4,-6.7,-14.1,-18.3,3.6,4.1,-5.8,11.3,-3.1,25.0,-14.0,-22.9,17.4,-24.0,-0.7,-7.1,27.2,-0.7,,,,,,,,98.5210411087541,29.544952139571425,1.682,32.45,19.9,109.25,29.85,25.45,31.797959183673473,26.75,21.35,20.95,40.3,26.15,25.1,20.05,53.5,43.449999999999996,11.350000000000001,24.3,28.7,31.6,20.05267150840997,39.599999999999994,29.8139534883721,25.403590067099604,36.083151871983304,,,26.984615384615402,,,,,,,,,,,,,,,,,,,,,55.685482233502505,-23.4,-26.4,-26.4,50.4,50.4,15.194289999999999,12.41,14.93,29.063081791102903,39.081987307592996,40.7697325505545,41.0584423305589,235.0,347.5,583.0,543.0,793.0,1336.0,778.0,1141.0,1919.0,198800.0,1573.0,5.2,99.1478301599398,-0.7,97.322691229223,-23.4,,,100.009517788367,46.83811613,101.606528685362,15.194289999999999,101.056825763353,98.85153086445361,98.9430336697795,29.385289087521144,101.733761205485,101.89289617687,59.194567569421,8.75,10.85,9.899999999999999,5.6,6.0,5.85,6.300000000000001,7.0,6.65,111277.98779221649,57367.75525367303,,,,,,,,34.28310873963222,,,,,,,,,,,,,,60.997421973152,65.38339506586824,150.927445175696,,123.01705498563351,96.3452089905334,97.842919320552,65.54204883692192,84.33099927174365,50.63335169902774,29.898544766384816,43.4369371761877,19.111371028611607,19.4910009971958,11.3212927730965
1990-06-01,-9.8,-10.8,-7.1,-14.4,-19.7,3.1,5.0,-5.7,10.5,10.3,25.0,-12.2,-23.6,12.7,-20.7,-3.2,-7.5,25.5,-1.1,,,,,,,,101.411597486946,26.938526019188448,1.7418,32.25,20.05,108.95,29.950000000000003,25.6,31.95,26.95,21.35,21.4,40.45,26.25,25.349999999999998,19.6,53.6,43.5,11.75,24.5,29.0,31.700000000000003,20.067961265899232,39.65,29.88703703703705,25.501982494078447,36.3086870357844,,,27.020843989769798,,,,,,,,,,,,,,,,,,,,,55.823147208121796,-21.9,-26.1,-26.1,52.3,52.3,15.013020000000001,11.8,14.76,29.770113151929994,39.72685431570861,41.2263535551207,41.9665279429251,232.5,343.0,575.5,533.0,788.5,1321.0,765.0,1131.5,1896.5,195150.0,1569.9499999999998,5.25,99.02936146496609,-3.2,97.39252537672941,-21.9,,,99.8760912598599,49.91247317,101.602687351905,15.013020000000001,100.89789506968799,98.749284594113,98.84893373988541,29.337040502139534,101.52284108700199,101.660715628782,59.2688267400233,8.7,10.75,9.8,5.55,6.0,5.800000000000001,6.199999999999999,6.9,6.6,112433.34728712561,57797.5141332687,,,,,,,,34.31883770753542,,,,,,,,,,,,,,59.752576626761105,66.02406729716158,147.457848734875,,117.42308961025749,94.22013088318846,98.9086500495005,65.41353016550502,85.96335608047576,42.1259841939306,28.816362303233056,42.350231527307656,23.3690563372706,20.7757785976303,14.638305925590801
1990-07-01,-22.1,-39.2,-35.9,-42.6,-44.7,2.6,4.8,-5.0,9.8,-3.2,22.4,-15.6,-26.7,17.2,-27.1,-2.5,-9.3,26.3,-7.8,,,,,,,,104.743767476216,24.975926596673443,1.8527,31.6,20.5,105.6,30.3,26.7,32.18130081300815,27.099999999999998,21.35,21.400000000000002,39.449999999999996,26.799999999999997,25.65,19.700000000000003,53.6,43.300000000000004,11.7,24.950000000000003,29.099999999999998,31.700000000000003,20.17010877759568,39.25,30.25461893764435,26.314655671152153,36.41623692980355,,,27.4122448979592,,,,,,,,,,,,,,,,,,,,,55.754314720812204,-20.0,-19.2,-19.2,46.9,46.9,14.9858,11.84,14.91,29.810746085160428,39.9203820051829,41.487279843444206,42.161117717003606,249.5,358.5,608.0,538.5,796.0,1334.5,788.5,1154.5,1942.0,176600.0,1615.3,5.35,98.83353483964491,-2.5,97.54994400112791,-20.0,,,99.6900621601706,49.59581922,101.588089626537,14.9858,100.704623293577,98.6270346803199,98.73642393117359,29.2793499541252,101.26005296851,101.37217894215,59.341042133926,9.3,11.25,10.4,5.6,6.05,5.85,6.35,7.05,6.8,112552.49717661315,57760.21467384116,,,,,,,,34.24726121891214,,,,,,,,,,,,,,54.2073564473836,62.307440752807366,128.127239993161,,113.314886015927,94.516223681825,93.42624789478684,62.80918717731472,80.26182412879186,27.208667684402272,30.42448726990822,43.74837641173715,20.46842619186894,18.1188064318712,12.0990903134004
1990-08-01,-23.3,-41.0,-37.7,-44.3,-47.2,-6.2,-8.6,-11.3,10.0,-7.1,19.2,-18.6,-27.1,15.7,-33.7,-6.3,-9.9,24.6,-11.4,,,,,,,,107.34859531117901,21.572727731282924,1.9005,32.3,20.299999999999997,107.25,30.549999999999997,26.799999999999997,32.45151515151515,27.7,22.05,22.3,40.25,26.900000000000002,27.75,26.65,53.6,43.55,11.95,25.049999999999997,29.5,32.300000000000004,23.812809004105603,40.4,30.491954022988498,26.50385695740365,36.83707269285215,,,27.48375634517765,,,,,,,,,,,,,,,,,,,,,56.3049746192893,-20.5,-28.4,-28.4,53.8,53.8,15.016639999999999,12.15,14.93,29.729464087866404,39.8238781105982,41.6829745596869,42.0962544589774,255.0,365.5,621.0,525.0,810.5,1335.5,780.0,1176.5,1956.5,168100.0,1646.5,5.45,98.54684388079929,-6.3,97.7632687102522,-20.5,,,99.46056441097559,46.0922575,101.559363097583,15.016639999999999,100.470715486332,98.47296181199829,98.5946266210186,29.214765236490276,100.975444718492,101.060607821184,59.4113847371451,9.55,11.55,10.65,5.45,6.199999999999999,5.85,6.300000000000001,7.25,6.8,113475.81703555725,57855.49349569769,,,,,,,,34.85465864533006,,,,,,,,,,,,,,51.717665754601896,61.292689612984084,124.285901076538,,109.921070586297,94.56586578798975,92.1193351204607,62.4267994299913,81.21509989280786,85.7052014282797,28.77250737405409,42.9198031897172,13.267345049556267,35.503028302002,16.4478137174708
