"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19","7,324.47","7,425.35","7,433.15","7,004.25","-","-1.13%"
"Sep 19","7,408.21","7,207.18","7,440.77","7,199.40","15.85B","2.79%"
"Aug 19","7,207.18","7,586.78","7,609.98","7,020.22","16.06B","-5.00%"
"Jul 19","7,586.78","7,425.63","7,727.49","7,425.63","14.65B","2.17%"
"Jun 19","7,425.63","7,161.71","7,469.19","7,079.71","14.52B","3.69%"
"May 19","7,161.71","7,418.22","7,446.46","7,130.85","15.76B","-3.46%"
"Apr 19","7,418.22","7,279.19","7,528.93","7,279.19","13.70B","1.91%"
"Mar 19","7,279.19","7,074.73","7,370.61","7,074.73","15.65B","2.89%"
"Feb 19","7,074.73","6,968.85","7,261.63","6,968.85","13.67B","1.52%"
"Jan 19","6,968.85","6,728.13","7,001.94","6,599.48","15.44B","3.58%"
"Dec 18","6,728.13","6,980.24","7,145.49","6,536.53","15.33B","-3.61%"
"Nov 18","6,980.24","7,128.10","7,196.39","6,904.21","18.83B","-2.07%"
"Oct 18","7,128.10","7,510.20","7,526.20","6,851.59","19.12B","-5.09%"
"Sep 18","7,510.20","7,432.42","7,552.02","7,220.50","15.32B","1.05%"
"Aug 18","7,432.42","7,748.76","7,790.17","7,428.67","15.62B","-4.08%"
"Jul 18","7,748.76","7,636.93","7,782.90","7,540.71","16.07B","1.46%"
"Jun 18","7,636.93","7,678.20","7,793.45","7,508.32","20.02B","-0.54%"
"May 18","7,678.20","7,509.30","7,903.50","7,492.39","19.19B","2.25%"
"Apr 18","7,509.30","7,056.61","7,546.16","6,971.75","16.09B","6.42%"
"Mar 18","7,056.61","7,231.91","7,254.87","6,866.94","17.62B","-2.42%"
"Feb 18","7,231.91","7,533.55","7,554.73","7,073.03","17.11B","-4.00%"
"Jan 18","7,533.55","7,687.77","7,792.56","7,521.77","17.01B","-2.01%"
"Dec 17","7,687.77","7,326.67","7,697.62","7,288.73","14.16B","4.93%"
"Nov 17","7,326.67","7,493.08","7,582.85","7,326.67","18.75B","-2.22%"
"Oct 17","7,493.08","7,372.76","7,565.11","7,372.73","17.74B","1.63%"
"Sep 17","7,372.76","7,430.62","7,460.52","7,196.58","15.93B","-0.78%"
"Aug 17","7,430.62","7,372.00","7,551.85","7,289.20","14.95B","0.80%"
"Jul 17","7,372.00","7,312.72","7,515.12","7,303.46","16.51B","0.81%"
"Jun 17","7,312.72","7,519.95","7,598.99","7,302.71","19.72B","-2.76%"
"May 17","7,519.95","7,203.94","7,586.45","7,203.94","18.87B","4.39%"
"Apr 17","7,203.94","7,322.92","7,406.35","7,096.83","16.25B","-1.62%"
"Mar 17","7,322.92","7,263.44","7,447.00","7,255.78","20.64B","0.82%"
"Feb 17","7,263.44","7,099.15","7,329.56","7,093.57","16.95B","2.31%"
"Jan 17","7,099.15","7,142.83","7,354.14","7,099.15","17.90B","-0.61%"
"Dec 16","7,142.83","6,783.79","7,142.83","6,678.74","15.40B","5.29%"
"Nov 16","6,783.79","6,954.22","6,997.25","6,676.56","20.47B","-2.45%"
"Oct 16","6,954.22","6,899.33","7,129.83","6,898.09","19.25B","0.80%"
"Sep 16","6,899.33","6,781.51","6,941.09","6,654.48","18.67B","1.74%"
"Aug 16","6,781.51","6,724.43","6,955.34","6,615.83","16.19B","0.85%"
"Jul 16","6,724.43","6,504.33","6,780.05","6,432.47","19.72B","3.38%"
"Jun 16","6,504.33","6,230.79","6,504.33","5,788.74","25.47B","4.39%"
"May 16","6,230.79","6,241.89","6,290.07","6,050.21","15.08B","-0.18%"
"Apr 16","6,241.89","6,174.90","6,427.32","6,061.85","15.84B","1.08%"
"Mar 16","6,174.90","6,097.09","6,237.02","6,036.70","16.59B","1.28%"
"Feb 16","6,097.09","6,083.79","6,115.37","5,499.51","19.36B","0.22%"
"Jan 16","6,083.79","6,242.32","6,242.32","5,639.88","17.94B","-2.54%"
"Dec 15","6,242.32","6,356.09","6,447.34","5,871.88","13.85B","-1.79%"
"Nov 15","6,356.09","6,361.09","6,459.46","6,079.79","14.57B","-0.08%"
"Oct 15","6,361.09","6,061.61","6,487.89","6,051.62","15.69B","4.94%"
"Sep 15","6,061.61","6,247.94","6,284.17","5,877.08","18.51B","-2.98%"
"Aug 15","6,247.94","6,696.28","6,764.82","5,768.22","17.67B","-6.70%"
