"Title","CPI INDEX: Goods 2015=100"
"CDID","D7F4"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","16-10-2019"
"Next release","13 November 2019"
"Important notes",
"1988","65.9"
"1989","68.9"
"1990","73.2"
"1991","77.7"
"1992","80.1"
"1993","81.2"
"1994","82.3"
"1995","84.2"
"1996","85.9"
"1997","86.5"
"1998","86.8"
"1999","86.9"
"2000","86.2"
"2001","85.5"
"2002","84.5"
"2003","84.0"
"2004","83.7"
"2005","83.9"
"2006","85.0"
"2007","86.1"
"2008","89.0"
"2009","90.1"
"2010","92.9"
"2011","97.2"
"2012","99.4"
"2013","101.4"
"2014","102.0"
"2015","100.0"
"2016","99.0"
"2017","101.6"
"2018","104.2"
"1988 Q1","64.7"
"1988 Q2","65.8"
"1988 Q3","66.2"
"1988 Q4","66.9"
"1989 Q1","67.4"
"1989 Q2","69.0"
"1989 Q3","69.2"
"1989 Q4","70.2"
"1990 Q1","71.0"
"1990 Q2","73.0"
"1990 Q3","73.8"
"1990 Q4","75.1"
"1991 Q1","75.0"
"1991 Q2","78.0"
"1991 Q3","78.5"
"1991 Q4","79.3"
"1992 Q1","79.4"
"1992 Q2","80.6"
"1992 Q3","80.1"
"1992 Q4","80.5"
"1993 Q1","80.3"
"1993 Q2","81.7"
"1993 Q3","81.5"
"1993 Q4","81.5"
"1994 Q1","81.5"
"1994 Q2","82.8"
"1994 Q3","82.4"
"1994 Q4","82.6"
"1995 Q1","83.3"
"1995 Q2","84.4"
"1995 Q3","84.4"
"1995 Q4","84.7"
"1996 Q1","85.2"
"1996 Q2","86.1"
"1996 Q3","85.8"
"1996 Q4","86.3"
"1997 Q1","86.0"
"1997 Q2","86.5"
"1997 Q3","86.6"
"1997 Q4","86.9"
"1998 Q1","86.3"
"1998 Q2","87.2"
"1998 Q3","86.7"
"1998 Q4","87.1"
"1999 Q1","86.6"
"1999 Q2","87.3"
"1999 Q3","86.6"
"1999 Q4","86.9"
"2000 Q1","85.9"
"2000 Q2","86.6"
"2000 Q3","85.9"
"2000 Q4","86.3"
"2001 Q1","85.1"
"2001 Q2","86.2"
"2001 Q3","85.3"
"2001 Q4","85.3"
"2002 Q1","84.7"
"2002 Q2","84.8"
"2002 Q3","84.0"
"2002 Q4","84.3"
"2003 Q1","83.9"
"2003 Q2","84.1"
"2003 Q3","83.7"
"2003 Q4","84.2"
"2004 Q1","83.6"
"2004 Q2","84.0"
"2004 Q3","83.2"
"2004 Q4","83.9"
"2005 Q1","83.5"
"2005 Q2","84.0"
"2005 Q3","83.7"
"2005 Q4","84.3"
"2006 Q1","83.8"
"2006 Q2","85.0"
"2006 Q3","85.3"
"2006 Q4","85.9"
"2007 Q1","85.7"
"2007 Q2","86.5"
"2007 Q3","85.6"
"2007 Q4","86.8"
"2008 Q1","87.1"
"2008 Q2","89.1"
"2008 Q3","90.0"
"2008 Q4","89.7"
"2009 Q1","88.9"
"2009 Q2","90.0"
"2009 Q3","90.4"
"2009 Q4","91.4"
"2010 Q1","91.9"
"2010 Q2","93.0"
"2010 Q3","92.6"
"2010 Q4","94.1"
"2011 Q1","95.6"
"2011 Q2","97.0"
"2011 Q3","97.3"
"2011 Q4","98.8"
"2012 Q1","99.0"
"2012 Q2","99.3"
"2012 Q3","98.9"
"2012 Q4","100.4"
"2013 Q1","100.9"
"2013 Q2","101.3"
"2013 Q3","101.2"
"2013 Q4","102.1"
"2014 Q1","102.1"
"2014 Q2","102.4"
"2014 Q3","101.7"
"2014 Q4","101.8"
"2015 Q1","100.2"
"2015 Q2","100.4"
"2015 Q3","99.6"
"2015 Q4","99.7"
"2016 Q1","98.7"
"2016 Q2","98.8"
"2016 Q3","98.5"
"2016 Q4","99.9"
"2017 Q1","100.4"
"2017 Q2","101.4"
"2017 Q3","101.5"
"2017 Q4","103.2"
"2018 Q1","103.3"
"2018 Q2","104.0"
"2018 Q3","104.1"
"2018 Q4","105.3"
"2019 Q1","104.7"
"2019 Q2","105.5"
"2019 Q3","105.5"
"1988 JAN","64.5"
"1988 FEB","64.7"
"1988 MAR","64.9"
"1988 APR","65.5"
"1988 MAY","65.8"
"1988 JUN","66.1"
"1988 JUL","66.0"
"1988 AUG","66.2"
"1988 SEP","66.5"
"1988 OCT","66.8"
"1988 NOV","67.0"
"1988 DEC","67.1"
"1989 JAN","67.1"
"1989 FEB","67.4"
"1989 MAR","67.7"
"1989 APR","68.6"
"1989 MAY","69.0"
"1989 JUN","69.3"
"1989 JUL","69.0"
"1989 AUG","69.0"
"1989 SEP","69.5"
"1989 OCT","70.0"
"1989 NOV","70.3"
"1989 DEC","70.4"
"1990 JAN","70.5"
"1990 FEB","71.0"
"1990 MAR","71.4"
"1990 APR","72.5"
"1990 MAY","73.2"
"1990 JUN","73.4"
"1990 JUL","72.9"
"1990 AUG","73.9"
"1990 SEP","74.7"
"1990 OCT","75.2"
"1990 NOV","75.2"
"1990 DEC","75.0"
"1991 JAN","74.6"
"1991 FEB","75.1"
"1991 MAR","75.3"
"1991 APR","77.5"
"1991 MAY","78.1"
"1991 JUN","78.5"
"1991 JUL","78.1"
"1991 AUG","78.6"
"1991 SEP","78.8"
"1991 OCT","79.1"
"1991 NOV","79.4"
"1991 DEC","79.4"
"1992 JAN","78.9"
"1992 FEB","79.4"
"1992 MAR","79.9"
"1992 APR","80.4"
"1992 MAY","80.7"
"1992 JUN","80.7"
"1992 JUL","80.0"
"1992 AUG","80.0"
"1992 SEP","80.2"
"1992 OCT","80.5"
"1992 NOV","80.5"
"1992 DEC","80.6"
"1993 JAN","79.6"
"1993 FEB","80.3"
"1993 MAR","80.9"
"1993 APR","81.4"
"1993 MAY","81.8"
"1993 JUN","81.7"
"1993 JUL","81.2"
"1993 AUG","81.5"
"1993 SEP","82.0"
"1993 OCT","81.7"
"1993 NOV","81.3"
"1993 DEC","81.6"
"1994 JAN","81.1"
"1994 FEB","81.6"
"1994 MAR","82.0"
"1994 APR","82.6"
"1994 MAY","82.9"
"1994 JUN","82.8"
"1994 JUL","81.9"
"1994 AUG","82.5"
"1994 SEP","82.6"
"1994 OCT","82.3"
"1994 NOV","82.4"
"1994 DEC","82.9"
"1995 JAN","82.7"
"1995 FEB","83.2"
"1995 MAR","83.8"
"1995 APR","84.1"
"1995 MAY","84.6"
"1995 JUN","84.6"
"1995 JUL","83.9"
"1995 AUG","84.4"
"1995 SEP","84.9"
"1995 OCT","84.5"
"1995 NOV","84.4"
"1995 DEC","85.2"
"1996 JAN","84.7"
"1996 FEB","85.2"
"1996 MAR","85.7"
"1996 APR","86.0"
"1996 MAY","86.2"
"1996 JUN","86.2"
"1996 JUL","85.2"
"1996 AUG","85.8"
"1996 SEP","86.3"
"1996 OCT","86.2"
"1996 NOV","86.2"
"1996 DEC","86.5"
"1997 JAN","85.8"
"1997 FEB","86.0"
"1997 MAR","86.3"
"1997 APR","86.3"
"1997 MAY","86.6"
"1997 JUN","86.7"
"1997 JUL","86.1"
"1997 AUG","86.7"
"1997 SEP","87.0"
"1997 OCT","86.9"
"1997 NOV","86.9"
"1997 DEC","87.0"
"1998 JAN","85.9"
"1998 FEB","86.3"
"1998 MAR","86.6"
"1998 APR","86.9"
"1998 MAY","87.4"
"1998 JUN","87.1"
"1998 JUL","86.3"
"1998 AUG","86.7"
"1998 SEP","87.1"
"1998 OCT","86.9"
"1998 NOV","87.0"
"1998 DEC","87.3"
"1999 JAN","86.3"
"1999 FEB","86.5"
"1999 MAR","87.2"
"1999 APR","87.2"
"1999 MAY","87.5"
"1999 JUN","87.2"
"1999 JUL","86.3"
"1999 AUG","86.6"
"1999 SEP","87.0"
"1999 OCT","86.7"
"1999 NOV","86.9"
"1999 DEC","87.1"
"2000 JAN","85.6"
"2000 FEB","85.9"
"2000 MAR","86.2"
"2000 APR","86.4"
"2000 MAY","86.6"
"2000 JUN","86.7"
"2000 JUL","85.7"
"2000 AUG","85.6"
"2000 SEP","86.4"
"2000 OCT","86.1"
"2000 NOV","86.4"
"2000 DEC","86.3"
"2001 JAN","84.7"
"2001 FEB","85.1"
"2001 MAR","85.5"
"2001 APR","85.6"
"2001 MAY","86.4"
"2001 JUN","86.5"
"2001 JUL","84.9"
"2001 AUG","85.2"
"2001 SEP","85.8"
"2001 OCT","85.4"
"2001 NOV","85.2"
"2001 DEC","85.3"
"2002 JAN","84.5"
