"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","2000",126.4254,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",132.0105,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",149.0944,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",159.2495,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",169.5848,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",180.7881,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",185.8348,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",189.5087,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",184.4043,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",190.2457,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",188.4901,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",187.6383,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",188.6414,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",189.7901,
"AUS","HHDEBT","TOT","PC_NDI","A","2014",193.3834,
"AUS","HHDEBT","TOT","PC_NDI","A","2015",202.2312,
"AUS","HHDEBT","TOT","PC_NDI","A","2016",209.0591,
"AUS","HHDEBT","TOT","PC_NDI","A","2017",216.3608,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.41841,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.01186,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",78.95232,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.08277,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.19778,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.18607,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.55872,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.36625,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",89.79839,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.11239,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",93.71614,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.2784,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",91.04684,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",90.82967,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",90.48386,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",92.03371,
"AUT","HHDEBT","TOT","PC_NDI","A","2016",92.23473,
"AUT","HHDEBT","TOT","PC_NDI","A","2017",91.78416,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",71.1817,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",67.1683,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",69.0197,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.9674,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",75.36653,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",80.84302,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",84.41811,
"BEL","HHDEBT","TOT","PC_NDI","A","2007",88.38851,
"BEL","HHDEBT","TOT","PC_NDI","A","2008",90.63052,
"BEL","HHDEBT","TOT","PC_NDI","A","2009",92.10538,
"BEL","HHDEBT","TOT","PC_NDI","A","2010",97.20621,
"BEL","HHDEBT","TOT","PC_NDI","A","2011",103.5563,
"BEL","HHDEBT","TOT","PC_NDI","A","2012",105.0358,
"BEL","HHDEBT","TOT","PC_NDI","A","2013",107.0645,
"BEL","HHDEBT","TOT","PC_NDI","A","2014",111.6243,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",115.069,
"BEL","HHDEBT","TOT","PC_NDI","A","2016",116.079,
"BEL","HHDEBT","TOT","PC_NDI","A","2017",117.6628,
"CZE","HHDEBT","TOT","PC_NDI","A","2000",21.75438,
"CZE","HHDEBT","TOT","PC_NDI","A","2001",22.30066,
"CZE","HHDEBT","TOT","PC_NDI","A","2002",27.12434,
"CZE","HHDEBT","TOT","PC_NDI","A","2003",29.37438,
"CZE","HHDEBT","TOT","PC_NDI","A","2004",34.20975,
"CZE","HHDEBT","TOT","PC_NDI","A","2005",39.51069,
"CZE","HHDEBT","TOT","PC_NDI","A","2006",43.66888,
"CZE","HHDEBT","TOT","PC_NDI","A","2007",53.19638,
"CZE","HHDEBT","TOT","PC_NDI","A","2008",59.06403,
"CZE","HHDEBT","TOT","PC_NDI","A","2009",60.59196,
"CZE","HHDEBT","TOT","PC_NDI","A","2010",62.02726,
"CZE","HHDEBT","TOT","PC_NDI","A","2011",64.64095,
"CZE","HHDEBT","TOT","PC_NDI","A","2012",65.81157,
"CZE","HHDEBT","TOT","PC_NDI","A","2013",68.30981,
"CZE","HHDEBT","TOT","PC_NDI","A","2014",66.66041,
"CZE","HHDEBT","TOT","PC_NDI","A","2015",67.1994,
"CZE","HHDEBT","TOT","PC_NDI","A","2016",68.78602,
"CZE","HHDEBT","TOT","PC_NDI","A","2017",65.71616,
"DNK","HHDEBT","TOT","PC_NDI","A","2000",232.1425,
"DNK","HHDEBT","TOT","PC_NDI","A","2001",236.7646,
"DNK","HHDEBT","TOT","PC_NDI","A","2002",242.52,
"DNK","HHDEBT","TOT","PC_NDI","A","2003",247.9129,
"DNK","HHDEBT","TOT","PC_NDI","A","2004",261.5377,
"DNK","HHDEBT","TOT","PC_NDI","A","2005",281.7372,
"DNK","HHDEBT","TOT","PC_NDI","A","2006",299.3419,
"DNK","HHDEBT","TOT","PC_NDI","A","2007",324.6386,
"DNK","HHDEBT","TOT","PC_NDI","A","2008",339.7779,
"DNK","HHDEBT","TOT","PC_NDI","A","2009",339.7609,
"DNK","HHDEBT","TOT","PC_NDI","A","2010",326.155,
"DNK","HHDEBT","TOT","PC_NDI","A","2011",319.9125,
"DNK","HHDEBT","TOT","PC_NDI","A","2012",314.2155,
"DNK","HHDEBT","TOT","PC_NDI","A","2013",305.8037,
"DNK","HHDEBT","TOT","PC_NDI","A","2014",305.774,
"DNK","HHDEBT","TOT","PC_NDI","A","2015",293.0566,
"DNK","HHDEBT","TOT","PC_NDI","A","2016",288.4665,
"DNK","HHDEBT","TOT","PC_NDI","A","2017",285.9806,
"DNK","HHDEBT","TOT","PC_NDI","A","2018",281.3361,
"FIN","HHDEBT","TOT","PC_NDI","A","2000",67.36951,
"FIN","HHDEBT","TOT","PC_NDI","A","2001",69.20441,
"FIN","HHDEBT","TOT","PC_NDI","A","2002",73.69598,
"FIN","HHDEBT","TOT","PC_NDI","A","2003",77.82366,
"FIN","HHDEBT","TOT","PC_NDI","A","2004",86.00439,
"FIN","HHDEBT","TOT","PC_NDI","A","2005",96.33165,
"FIN","HHDEBT","TOT","PC_NDI","A","2006",106.2592,
"FIN","HHDEBT","TOT","PC_NDI","A","2007",111.3808,
"FIN","HHDEBT","TOT","PC_NDI","A","2008",113.9694,
"FIN","HHDEBT","TOT","PC_NDI","A","2009",114.2574,
"FIN","HHDEBT","TOT","PC_NDI","A","2010",116.1788,
"FIN","HHDEBT","TOT","PC_NDI","A","2011",119.1331,
"FIN","HHDEBT","TOT","PC_NDI","A","2012",120.6129,
"FIN","HHDEBT","TOT","PC_NDI","A","2013",120.7962,
"FIN","HHDEBT","TOT","PC_NDI","A","2014",121.2546,
"FIN","HHDEBT","TOT","PC_NDI","A","2015",124.4438,
"FIN","HHDEBT","TOT","PC_NDI","A","2016",131.3285,
"FIN","HHDEBT","TOT","PC_NDI","A","2017",134.2724,
"FIN","HHDEBT","TOT","PC_NDI","A","2018",135.3553,
"FRA","HHDEBT","TOT","PC_NDI","A","2000",76.50027,
"FRA","HHDEBT","TOT","PC_NDI","A","2001",78.59366,
"FRA","HHDEBT","TOT","PC_NDI","A","2002",81.03705,
"FRA","HHDEBT","TOT","PC_NDI","A","2003",85.13761,
"FRA","HHDEBT","TOT","PC_NDI","A","2004",86.87691,
"FRA","HHDEBT","TOT","PC_NDI","A","2005",92.30909,
"FRA","HHDEBT","TOT","PC_NDI","A","2006",97.27901,
"FRA","HHDEBT","TOT","PC_NDI","A","2007",101.0742,
"FRA","HHDEBT","TOT","PC_NDI","A","2008",102.7999,
"FRA","HHDEBT","TOT","PC_NDI","A","2009",109.3833,
"FRA","HHDEBT","TOT","PC_NDI","A","2010",112.8123,
"FRA","HHDEBT","TOT","PC_NDI","A","2011",113.4588,
"FRA","HHDEBT","TOT","PC_NDI","A","2012",108.265,
"FRA","HHDEBT","TOT","PC_NDI","A","2013",110.3357,
"FRA","HHDEBT","TOT","PC_NDI","A","2014",111.1825,
"FRA","HHDEBT","TOT","PC_NDI","A","2015",115.3985,
