"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","2000",3.76981374896185,
"AUS","HHDI","NET","AGRWTH","A","2001",4.36426630762756,
"AUS","HHDI","NET","AGRWTH","A","2002",0.021820395683255,
"AUS","HHDI","NET","AGRWTH","A","2003",6.0565918131538,
"AUS","HHDI","NET","AGRWTH","A","2004",5.5268201679681,
"AUS","HHDI","NET","AGRWTH","A","2005",2.35189638817248,
"AUS","HHDI","NET","AGRWTH","A","2006",5.16826457067624,
"AUS","HHDI","NET","AGRWTH","A","2007",6.34682859140092,
"AUS","HHDI","NET","AGRWTH","A","2008",7.24181541297598,
"AUS","HHDI","NET","AGRWTH","A","2009",1.04716450132784,
"AUS","HHDI","NET","AGRWTH","A","2010",5.55094818528465,
"AUS","HHDI","NET","AGRWTH","A","2011",3.03296795880449,
"AUS","HHDI","NET","AGRWTH","A","2012",0.339802096321155,
"AUS","HHDI","NET","AGRWTH","A","2013",2.6351972172942,
"AUS","HHDI","NET","AGRWTH","A","2014",2.61385353146468,
"AUS","HHDI","NET","AGRWTH","A","2015",1.33529276422207,
"AUS","HHDI","NET","AGRWTH","A","2016",1.90446335742445,
"AUS","HHDI","NET","AGRWTH","A","2017",1.68332285587474,
"AUT","HHDI","NET","AGRWTH","A","2000",1.52317022455656,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.437761164461041,
"AUT","HHDI","NET","AGRWTH","A","2002",1.36770122514373,
"AUT","HHDI","NET","AGRWTH","A","2003",1.93804438751979,
"AUT","HHDI","NET","AGRWTH","A","2004",1.75518456721141,
"AUT","HHDI","NET","AGRWTH","A","2005",3.82893992578123,
"AUT","HHDI","NET","AGRWTH","A","2006",2.82196738310819,
"AUT","HHDI","NET","AGRWTH","A","2007",2.37730710277949,
"AUT","HHDI","NET","AGRWTH","A","2008",1.24543970176001,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.03471049800258,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.686110083473299,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.334935608912642,
"AUT","HHDI","NET","AGRWTH","A","2012",1.39447992770547,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.38437562269925,
"AUT","HHDI","NET","AGRWTH","A","2014",0.832703028839532,
"AUT","HHDI","NET","AGRWTH","A","2015",-0.032051389112743,
"AUT","HHDI","NET","AGRWTH","A","2016",2.34778756453769,
"AUT","HHDI","NET","AGRWTH","A","2017",0.473808117491736,
"BEL","HHDI","NET","AGRWTH","A","2000",1.96901554318016,
"BEL","HHDI","NET","AGRWTH","A","2001",2.41628588748841,
"BEL","HHDI","NET","AGRWTH","A","2002",-0.17411963705257,
"BEL","HHDI","NET","AGRWTH","A","2003",0.224232909814678,
"BEL","HHDI","NET","AGRWTH","A","2004",0.055826425867129,
"BEL","HHDI","NET","AGRWTH","A","2005",0.857321551265908,
"BEL","HHDI","NET","AGRWTH","A","2006",2.018083410186,
"BEL","HHDI","NET","AGRWTH","A","2007",1.96050466402689,
"BEL","HHDI","NET","AGRWTH","A","2008",2.21597788490927,
"BEL","HHDI","NET","AGRWTH","A","2009",1.80614339561789,
"BEL","HHDI","NET","AGRWTH","A","2010",-0.588662633923381,
"BEL","HHDI","NET","AGRWTH","A","2011",-0.47690013298081,
"BEL","HHDI","NET","AGRWTH","A","2012",0.158395977010935,
"BEL","HHDI","NET","AGRWTH","A","2013",0.158800230396895,
