"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","2000",2.03915325866545,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",3.32661201170925,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",-0.998309922308163,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",-0.069475172136251,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",1.12037834629775,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",0.320394700879719,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",0.831589125150222,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",2.52434961708647,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",8.87187763509849,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",6.82369166371379,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",8.35196564481592,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",8.83715380463631,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",7.48221603921955,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",7.86105374134392,
"AUS","HHSAV","TOT","PC_HHDI","A","2014",7.94706448222125,
"AUS","HHSAV","TOT","PC_HHDI","A","2015",5.96668684879826,
"AUS","HHSAV","TOT","PC_HHDI","A","2016",4.85161753846768,
"AUS","HHSAV","TOT","PC_HHDI","A","2017",3.50862441743141,
"AUT","HHSAV","TOT","PC_HHDI","A","2000",10.6323620101249,
"AUT","HHSAV","TOT","PC_HHDI","A","2001",9.02211155348111,
"AUT","HHSAV","TOT","PC_HHDI","A","2002",9.40017464120189,
"AUT","HHSAV","TOT","PC_HHDI","A","2003",9.64812925464156,
"AUT","HHSAV","TOT","PC_HHDI","A","2004",9.52426830502389,
"AUT","HHSAV","TOT","PC_HHDI","A","2005",11.13639539683,
"AUT","HHSAV","TOT","PC_HHDI","A","2006",11.6196364290299,
"AUT","HHSAV","TOT","PC_HHDI","A","2007",12.4123757309681,
"AUT","HHSAV","TOT","PC_HHDI","A","2008",12.3545290786405,
"AUT","HHSAV","TOT","PC_HHDI","A","2009",11.3985751349722,
"AUT","HHSAV","TOT","PC_HHDI","A","2010",9.59183079078251,
"AUT","HHSAV","TOT","PC_HHDI","A","2011",7.88123256906157,
"AUT","HHSAV","TOT","PC_HHDI","A","2012",8.86254800930253,
"AUT","HHSAV","TOT","PC_HHDI","A","2013",7.1132177811741,
"AUT","HHSAV","TOT","PC_HHDI","A","2014",7.29640193215769,
"AUT","HHSAV","TOT","PC_HHDI","A","2015",6.75513658134317,
"AUT","HHSAV","TOT","PC_HHDI","A","2016",7.78638214368945,
"AUT","HHSAV","TOT","PC_HHDI","A","2017",6.82941812260765,
"BEL","HHSAV","TOT","PC_HHDI","A","2000",10.4237376818719,
"BEL","HHSAV","TOT","PC_HHDI","A","2001",11.9096132750714,
"BEL","HHSAV","TOT","PC_HHDI","A","2002",11.0160123233074,
"BEL","HHSAV","TOT","PC_HHDI","A","2003",10.5573342477972,
"BEL","HHSAV","TOT","PC_HHDI","A","2004",8.87863804361476,
"BEL","HHSAV","TOT","PC_HHDI","A","2005",8.52292276494701,
"BEL","HHSAV","TOT","PC_HHDI","A","2006",9.16186497475291,
"BEL","HHSAV","TOT","PC_HHDI","A","2007",9.42917664983609,
"BEL","HHSAV","TOT","PC_HHDI","A","2008",10.0062958576829,
"BEL","HHSAV","TOT","PC_HHDI","A","2009",11.3141064470871,
"BEL","HHSAV","TOT","PC_HHDI","A","2010",8.1066351721091,
"BEL","HHSAV","TOT","PC_HHDI","A","2011",6.53882894443311,
