"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1990-Q2",23.0794467926195,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1990-Q3",22.9225089621661,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1990-Q4",22.9157791066423,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1991-Q1",22.951013580322,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1991-Q2",23.2362914737999,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1991-Q3",24.0027987087155,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1991-Q4",23.9257833719783,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1992-Q1",23.7965871907682,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1992-Q2",23.8480891700534,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1992-Q3",23.8645016157944,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1992-Q4",24.0462495782801,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1993-Q1",24.3626935123754,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1993-Q2",24.4583414806529,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1993-Q3",24.5023470484497,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1993-Q4",24.7235577789419,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1994-Q1",25.0274270783951,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1994-Q2",25.2951140327428,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1994-Q3",25.6573990853903,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1994-Q4",25.5788454838681,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1995-Q1",25.8669374079438,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1995-Q2",25.6087595025155,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1995-Q3",25.6608853850126,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1995-Q4",25.648185610817,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1996-Q1",25.6424178808452,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1996-Q2",25.8672910171492,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1996-Q3",26.0119738219976,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1996-Q4",26.0935892748048,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1997-Q1",26.3097900936339,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1997-Q2",26.6136957509671,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1997-Q3",27.1518507188755,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1997-Q4",27.6924558738598,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1998-Q1",28.3608130406016,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1998-Q2",28.8674713845515,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1998-Q3",29.0119149136239,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1998-Q4",29.4450654090014,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1999-Q1",29.9929221644267,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1999-Q2",30.5875106575978,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1999-Q3",31.3089277351328,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","1999-Q4",32.1879502659246,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q1",32.9063962642345,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2000-Q2",33.5456803597688,
