DATE,IPIUKM
1920-01-01,29.27
1920-02-01,29.27
1920-03-01,28.69
1920-04-01,28.74
1920-05-01,29.54
1920-06-01,29.69
1920-07-01,30.29
1920-08-01,31.19
1920-09-01,28.77
1920-10-01,27.82
1920-11-01,23.99
1920-12-01,24.89
1921-01-01,21.22
1921-02-01,23.74
1921-03-01,19.69
1921-04-01,18.39
1921-05-01,9.97
1921-06-01,13.75
1921-07-01,21.69
1921-08-01,24.49
1921-09-01,21.49
1921-10-01,21.92
1921-11-01,20.59
1921-12-01,20.64
1922-01-01,20.17
1922-02-01,21.07
1922-03-01,21.19
1922-04-01,22.02
1922-05-01,23.19
1922-06-01,22.47
1922-07-01,25.19
1922-08-01,24.39
1922-09-01,24.87
1922-10-01,22.74
1922-11-01,23.54
1922-12-01,22.14
1923-01-01,23.92
1923-02-01,23.67
1923-03-01,23.87
1923-04-01,24.79
1923-05-01,24.32
1923-06-01,26.09
1923-07-01,23.37
1923-08-01,25.22
1923-09-01,23.59
1923-10-01,26.02
1923-11-01,23.72
1923-12-01,25.47
1924-01-01,22.89
1924-02-01,25.04
1924-03-01,23.52
1924-04-01,25.79
1924-05-01,24.77
1924-06-01,26.14
1924-07-01,25.29
1924-08-01,26.29
1924-09-01,25.12
1924-10-01,25.59
1924-11-01,24.89
1924-12-01,25.47
1925-01-01,24.72
1925-02-01,25.49
1925-03-01,24.22
1925-04-01,25.84
1925-05-01,24.12
1925-06-01,25.24
1925-07-01,23.47
1925-08-01,24.14
1925-09-01,23.07
1925-10-01,24.39
1925-11-01,23.92
1925-12-01,24.62
1926-01-01,24.59
1926-02-01,25.02
1926-03-01,24.07
1926-04-01,24.42
1926-05-01,15.95
1926-06-01,15.30
1926-07-01,15.07
1926-08-01,14.70
1926-09-01,15.37
1926-10-01,14.62
1926-11-01,17.39
1926-12-01,19.12
1927-01-01,26.42
1927-02-01,24.42
1927-03-01,29.62
1927-04-01,26.39
1927-05-01,29.69
1927-06-01,27.37
1927-07-01,28.39
1927-08-01,27.27
1927-09-01,27.07
1927-10-01,26.77
1927-11-01,25.94
1927-12-01,26.24
1928-01-01,25.17
1928-02-01,26.59
1928-03-01,24.97
1928-04-01,27.67
1928-05-01,25.17
1928-06-01,26.89
1928-07-01,24.04
1928-08-01,26.27
1928-09-01,24.14
1928-10-01,26.34
1928-11-01,24.29
1928-12-01,26.84
1929-01-01,24.97
1929-02-01,27.27
1929-03-01,25.97
1929-04-01,28.94
1929-05-01,27.09
1929-06-01,29.69
1929-07-01,27.74
1929-08-01,29.69
1929-09-01,27.54
1929-10-01,28.89
1929-11-01,27.09
1929-12-01,28.24
1930-01-01,26.59
1930-02-01,27.82
1930-03-01,25.29
1930-04-01,26.92
1930-05-01,24.62
1930-06-01,25.92
1930-07-01,23.47
1930-08-01,24.69
1930-09-01,22.52
1930-10-01,23.34
1930-11-01,22.19
1930-12-01,22.14
1931-01-01,20.32
1931-02-01,21.07
