"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","QGRWTH","Q","2000-Q1",1.280783,
"AUS","GFCF","TOT","QGRWTH","Q","2000-Q2",3.529875,
"AUS","GFCF","TOT","QGRWTH","Q","2000-Q3",-5.470134,
"AUS","GFCF","TOT","QGRWTH","Q","2000-Q4",-9.368981,
"AUS","GFCF","TOT","QGRWTH","Q","2001-Q1",1.794718,
"AUS","GFCF","TOT","QGRWTH","Q","2001-Q2",1.241175,
"AUS","GFCF","TOT","QGRWTH","Q","2001-Q3",3.934691,
"AUS","GFCF","TOT","QGRWTH","Q","2001-Q4",3.946253,
"AUS","GFCF","TOT","QGRWTH","Q","2002-Q1",2.446515,
"AUS","GFCF","TOT","QGRWTH","Q","2002-Q2",5.694155,
"AUS","GFCF","TOT","QGRWTH","Q","2002-Q3",1.464626,
"AUS","GFCF","TOT","QGRWTH","Q","2002-Q4",5.694973,
"AUS","GFCF","TOT","QGRWTH","Q","2003-Q1",0.649981,
"AUS","GFCF","TOT","QGRWTH","Q","2003-Q2",-1.431116,
"AUS","GFCF","TOT","QGRWTH","Q","2003-Q3",3.319477,
"AUS","GFCF","TOT","QGRWTH","Q","2003-Q4",5.335277,
"AUS","GFCF","TOT","QGRWTH","Q","2004-Q1",1.033767,
"AUS","GFCF","TOT","QGRWTH","Q","2004-Q2",0.25751,
"AUS","GFCF","TOT","QGRWTH","Q","2004-Q3",0.204932,
"AUS","GFCF","TOT","QGRWTH","Q","2004-Q4",3.399005,
"AUS","GFCF","TOT","QGRWTH","Q","2005-Q1",-0.200427,
"AUS","GFCF","TOT","QGRWTH","Q","2005-Q2",5.287636,
"AUS","GFCF","TOT","QGRWTH","Q","2005-Q3",1.818342,
"AUS","GFCF","TOT","QGRWTH","Q","2005-Q4",2.297349,
"AUS","GFCF","TOT","QGRWTH","Q","2006-Q1",-0.432525,
"AUS","GFCF","TOT","QGRWTH","Q","2006-Q2",0.402943,
"AUS","GFCF","TOT","QGRWTH","Q","2006-Q3",0.678518,
"AUS","GFCF","TOT","QGRWTH","Q","2006-Q4",0.100553,
"AUS","GFCF","TOT","QGRWTH","Q","2007-Q1",4.058741,
"AUS","GFCF","TOT","QGRWTH","Q","2007-Q2",3.984325,
"AUS","GFCF","TOT","QGRWTH","Q","2007-Q3",-0.274085,
"AUS","GFCF","TOT","QGRWTH","Q","2007-Q4",2.430321,
"AUS","GFCF","TOT","QGRWTH","Q","2008-Q1",2.666941,
"AUS","GFCF","TOT","QGRWTH","Q","2008-Q2",2.537595,
"AUS","GFCF","TOT","QGRWTH","Q","2008-Q3",0.554979,
"AUS","GFCF","TOT","QGRWTH","Q","2008-Q4",-1.56785,
"AUS","GFCF","TOT","QGRWTH","Q","2009-Q1",-2.941635,
"AUS","GFCF","TOT","QGRWTH","Q","2009-Q2",-0.561654,
"AUS","GFCF","TOT","QGRWTH","Q","2009-Q3",0.419585,
"AUS","GFCF","TOT","QGRWTH","Q","2009-Q4",5.155401,
"AUS","GFCF","TOT","QGRWTH","Q","2010-Q1",-0.246559,
"AUS","GFCF","TOT","QGRWTH","Q","2010-Q2",-0.086815,
"AUS","GFCF","TOT","QGRWTH","Q","2010-Q3",0.644014,
"AUS","GFCF","TOT","QGRWTH","Q","2010-Q4",-0.003047,
"AUS","GFCF","TOT","QGRWTH","Q","2011-Q1",3.841505,
"AUS","GFCF","TOT","QGRWTH","Q","2011-Q2",-0.204435,
"AUS","GFCF","TOT","QGRWTH","Q","2011-Q3",7.179683,
"AUS","GFCF","TOT","QGRWTH","Q","2011-Q4",-0.343853,
"AUS","GFCF","TOT","QGRWTH","Q","2012-Q1",3.443972,
"AUS","GFCF","TOT","QGRWTH","Q","2012-Q2",3.254795,
"AUS","GFCF","TOT","QGRWTH","Q","2012-Q3",0.136604,
"AUS","GFCF","TOT","QGRWTH","Q","2012-Q4",0.254818,
"AUS","GFCF","TOT","QGRWTH","Q","2013-Q1",-1.982867,
"AUS","GFCF","TOT","QGRWTH","Q","2013-Q2",-1.388234,
"AUS","GFCF","TOT","QGRWTH","Q","2013-Q3",0.964195,
"AUS","GFCF","TOT","QGRWTH","Q","2013-Q4",-0.823446,
"AUS","GFCF","TOT","QGRWTH","Q","2014-Q1",0.13617,
"AUS","GFCF","TOT","QGRWTH","Q","2014-Q2",-0.757629,
"AUS","GFCF","TOT","QGRWTH","Q","2014-Q3",-1.662959,
"AUS","GFCF","TOT","QGRWTH","Q","2014-Q4",-0.67227,
"AUS","GFCF","TOT","QGRWTH","Q","2015-Q1",-0.200404,
"AUS","GFCF","TOT","QGRWTH","Q","2015-Q2",-0.88994,
"AUS","GFCF","TOT","QGRWTH","Q","2015-Q3",-2.091488,
"AUS","GFCF","TOT","QGRWTH","Q","2015-Q4",-0.744977,
"AUS","GFCF","TOT","QGRWTH","Q","2016-Q1",0.536391,
"AUS","GFCF","TOT","QGRWTH","Q","2016-Q2",-0.5948,
