"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2000",19.226662747197,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2001",18.5750474847318,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2002",19.311788726789,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2003",18.8902820769658,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2004",18.9353381538412,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2005",18.2220971011728,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2006",17.6056305583412,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2007",16.5596467641361,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2008",16.317639534716,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2009",15.571661013109,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2010",15.6646905431857,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2011",16.1660202067123,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2012",16.0015211907824,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2013",16.5682837585139,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2014",15.492286379235,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2015",14.8866719935445,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2016",15.5485660654834,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2017",15.341970431293,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2000",22.1406509186352,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2001",23.8786692938209,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2002",23.5247086786766,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2003",24.6572217960122,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2004",22.1759104613979,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2005",23.8901960691202,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2006",23.0643044839091,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2007",21.2086490499943,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2008",19.4671903564007,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2009",20.4420500207356,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2010",20.5359657100421,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2011",24.5309268861161,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2012",24.5575464123205,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2013",25.7998168490056,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2014",25.3400026891637,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2015",23.5272168104463,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2016",16.2631559556595,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2000",47.5022519941085,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2001",45.6547695157659,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2002",44.9466125804292,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2003",43.6083910978919,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2004",42.5699446844187,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2005",43.2057121881442,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2006",42.4351071478889,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2007",42.6948533424339,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2008",41.9317642228545,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2009",57.5300578398816,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2010",60.8114471019373,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2011",69.887679655979,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2012",78.7117378370134,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2013",77.4407955248958,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2014",79.5237034199203,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2015",85.771400455339,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2016",89.2775872779704,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2017",83.9181956058229,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2000",15.1550619217375,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2001",13.7505250216711,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2002",14.1666857913674,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2003",26.886657563652,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2004",17.9550554489577,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2005",18.5172649828549,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2006",18.5660880224201,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2007",16.1158703523801,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2008",18.2134397528321,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2009",22.298254292792,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2010",18.9894811875988,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2011",16.967958336184,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2012",16.1011575722259,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2013",14.8368836585729,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2014",16.4178677674515,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2015",19.4286635106626,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2016",13.0561883578584,
"CZE","GFCFSECTOR","GG","PC_GFCF","A","2017",13.6859962344375,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2003",64.5627912010139,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2004",62.4935989581548,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2005",66.4062334702418,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2006",64.0803084323472,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2007",63.0358242082973,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2008",65.2440389739897,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2009",63.8746988746839,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2010",71.8934480670238,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2011",70.8525846786564,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2012",74.3575589865104,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2013",75.2984272063615,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2014",73.7404665818877,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2015",71.2760523691954,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2016",69.54855126384,
"CHL","GFCFSECTOR","CORP","PC_GFCF","A","2017",69.3336008955099,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2000",10.3693778994739,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2001",9.74072285983893,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2002",11.1487645284815,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2003",10.3018549958227,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2004",10.1900177704395,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2005",12.7029846490592,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2006",12.709316310482,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2007",12.9939934817984,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2008",13.919657664667,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2009",15.0345496311143,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2010",15.0435027541312,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2011",13.4708542828937,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2012",12.9659829824851,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2013",13.2003923376248,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2014",13.0478841000521,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2015",13.1326847835686,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2016",12.8536683839866,
"AUT","GFCFSECTOR","GG","PC_GFCF","A","2017",13.0481616430798,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2000",20.173575194194,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2001",20.4576541354033,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2002",20.6212515156536,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2003",19.2639049819295,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2004",17.5368321920541,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2005",16.283005200796,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2006",15.3250117866396,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2007",14.7912059118033,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2008",14.6599409819564,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2009",17.5073611970133,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2010",17.5455215832225,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2011",16.4269887353385,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2012",16.0646938648609,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2013",16.6084093319646,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2014",16.4473331611797,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2015",15.7020798556996,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2016",15.6441803693833,
"JPN","GFCFSECTOR","GG","PC_GFCF","A","2017",15.5062923359802,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2000",8.82455863755667,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2001",8.97913309163514,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2002",9.20681213325114,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2003",11.713414869172,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2004",12.246182777524,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2005",12.104389908983,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2006",11.6037836923747,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2007",11.1637174922895,
"CHN","GFCFSECTOR","GG","PC_GFCF","A","2008",11.4852718629396,
