"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2000",1.024122,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2001",3.488574,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2002",1.391728,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2003",2.153562,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2004",-0.286707,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2005",0.410998,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2006",0.578924,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2007",1.209118,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2008",3.515402,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2009",-0.966754,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.648461,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2011",1.159838,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2012",2.425758,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2013",1.707388,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2014",0.602946,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",2.614428,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.226207,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.093904,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.624645,"E"
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2000",-0.250457,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2001",-0.786519,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2002",0.423518,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2003",0.697087,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2004",2.400129,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2005",1.135251,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2006",1.862286,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2007",0.567643,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2008",-3.47871,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2009",0.961442,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2010",-0.754985,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2011",1.292665,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2012",-1.54867,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2013",-0.873738,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2014",0.216554,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2015",-1.205699,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2016",0.984956,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2017",0.022831,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2018",0.44827,"E"
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2000",2.344357,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2001",1.266313,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2002",1.932161,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2003",0.771098,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2004",1.973442,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2005",2.384463,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2006",2.676276,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2007",2.498169,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2008",-0.00099,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2009",-0.716612,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",1.528388,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2011",1.022129,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2012",1.069418,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2013",0.659639,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2014",0.304968,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.610254,
