"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","SHPRICE","TOT","IDX2015","M","1989-09",36.03544,
"GBR","SHPRICE","TOT","IDX2015","M","1989-10",33.37558,
"GBR","SHPRICE","TOT","IDX2015","M","1989-11",33.44368,
"GBR","SHPRICE","TOT","IDX2015","M","1989-12",35.76371,
"GBR","SHPRICE","TOT","IDX2015","M","1990-01",35.90472,
"GBR","SHPRICE","TOT","IDX2015","M","1990-02",34.83029,
"GBR","SHPRICE","TOT","IDX2015","M","1990-03",34.0955,
"GBR","SHPRICE","TOT","IDX2015","M","1990-04",33.22822,
"GBR","SHPRICE","TOT","IDX2015","M","1990-05",33.82316,
"GBR","SHPRICE","TOT","IDX2015","M","1990-06",36.04324,
"GBR","SHPRICE","TOT","IDX2015","M","1990-07",35.8147,
"GBR","SHPRICE","TOT","IDX2015","M","1990-08",33.28467,
"GBR","SHPRICE","TOT","IDX2015","M","1990-09",31.55551,
"GBR","SHPRICE","TOT","IDX2015","M","1990-10",31.72036,
"GBR","SHPRICE","TOT","IDX2015","M","1990-11",31.68686,
"GBR","SHPRICE","TOT","IDX2015","M","1990-12",32.81529,
"GBR","SHPRICE","TOT","IDX2015","M","1991-01",31.94394,
"GBR","SHPRICE","TOT","IDX2015","M","1991-02",34.54787,
"GBR","SHPRICE","TOT","IDX2015","M","1991-03",37.14758,
"GBR","SHPRICE","TOT","IDX2015","M","1991-04",38.1236,
"GBR","SHPRICE","TOT","IDX2015","M","1991-05",37.8074,
"GBR","SHPRICE","TOT","IDX2015","M","1991-06",37.83494,
"GBR","SHPRICE","TOT","IDX2015","M","1991-07",38.3652,
"GBR","SHPRICE","TOT","IDX2015","M","1991-08",39.43264,
"GBR","SHPRICE","TOT","IDX2015","M","1991-09",39.76111,
"GBR","SHPRICE","TOT","IDX2015","M","1991-10",39.13484,
"GBR","SHPRICE","TOT","IDX2015","M","1991-11",37.9859,
"GBR","SHPRICE","TOT","IDX2015","M","1991-12",36.5515,
"GBR","SHPRICE","TOT","IDX2015","M","1992-01",38.2148,
"GBR","SHPRICE","TOT","IDX2015","M","1992-02",38.56544,
"GBR","SHPRICE","TOT","IDX2015","M","1992-03",37.83648,
"GBR","SHPRICE","TOT","IDX2015","M","1992-04",38.65847,
"GBR","SHPRICE","TOT","IDX2015","M","1992-05",40.97684,
"GBR","SHPRICE","TOT","IDX2015","M","1992-06",39.49233,
"GBR","SHPRICE","TOT","IDX2015","M","1992-07",37.04821,
"GBR","SHPRICE","TOT","IDX2015","M","1992-08",35.5448,
"GBR","SHPRICE","TOT","IDX2015","M","1992-09",37.18707,
"GBR","SHPRICE","TOT","IDX2015","M","1992-10",39.22931,
"GBR","SHPRICE","TOT","IDX2015","M","1992-11",41.1373,
"GBR","SHPRICE","TOT","IDX2015","M","1992-12",42.12423,
"GBR","SHPRICE","TOT","IDX2015","M","1993-01",42.31052,
"GBR","SHPRICE","TOT","IDX2015","M","1993-02",43.06687,
"GBR","SHPRICE","TOT","IDX2015","M","1993-03",43.92835,
