"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","STINT","TOT","PC_PA","M","2000-07",9.9,
"CHL","STINT","TOT","PC_PA","M","2000-08",9.37,
"CHL","STINT","TOT","PC_PA","M","2000-09",10.32,
"CHL","STINT","TOT","PC_PA","M","2000-10",11.5,
"CHL","STINT","TOT","PC_PA","M","2000-11",10.9,
"CHL","STINT","TOT","PC_PA","M","2000-12",9.3,
"CHL","STINT","TOT","PC_PA","M","2001-01",8.3,
"CHL","STINT","TOT","PC_PA","M","2001-02",8.06,
"CHL","STINT","TOT","PC_PA","M","2001-03",6.14,
"CHL","STINT","TOT","PC_PA","M","2001-04",8.62,
"CHL","STINT","TOT","PC_PA","M","2001-05",8.69,
"CHL","STINT","TOT","PC_PA","M","2001-06",6.74,
"CHL","STINT","TOT","PC_PA","M","2001-07",6.44,
"CHL","STINT","TOT","PC_PA","M","2001-08",7.07,
"CHL","STINT","TOT","PC_PA","M","2001-09",7.18,
"CHL","STINT","TOT","PC_PA","M","2001-10",6.61,
"CHL","STINT","TOT","PC_PA","M","2001-11",6.44,
"CHL","STINT","TOT","PC_PA","M","2001-12",6.51,
"CHL","STINT","TOT","PC_PA","M","2002-01",6,
"CHL","STINT","TOT","PC_PA","M","2002-02",5.56,
"CHL","STINT","TOT","PC_PA","M","2002-03",4.73,
"CHL","STINT","TOT","PC_PA","M","2002-04",4.39,
"CHL","STINT","TOT","PC_PA","M","2002-05",4.15,
"CHL","STINT","TOT","PC_PA","M","2002-06",4.03,
"CHL","STINT","TOT","PC_PA","M","2002-07",3.51,
"CHL","STINT","TOT","PC_PA","M","2002-08",2.96,
"CHL","STINT","TOT","PC_PA","M","2002-09",2.99,
"CHL","STINT","TOT","PC_PA","M","2002-10",3.03,
"CHL","STINT","TOT","PC_PA","M","2002-11",2.87,
"CHL","STINT","TOT","PC_PA","M","2002-12",2.88,
"CHL","STINT","TOT","PC_PA","M","2003-01",2.97,
"CHL","STINT","TOT","PC_PA","M","2003-02",2.94,
"CHL","STINT","TOT","PC_PA","M","2003-03",2.65,
"CHL","STINT","TOT","PC_PA","M","2003-04",2.48,
"CHL","STINT","TOT","PC_PA","M","2003-05",2.59,
"CHL","STINT","TOT","PC_PA","M","2003-06",2.78,
"CHL","STINT","TOT","PC_PA","M","2003-07",2.97,
"CHL","STINT","TOT","PC_PA","M","2003-08",2.94,
"CHL","STINT","TOT","PC_PA","M","2003-09",2.84,
"CHL","STINT","TOT","PC_PA","M","2003-10",2.75,
"CHL","STINT","TOT","PC_PA","M","2003-11",2.72,
"CHL","STINT","TOT","PC_PA","M","2003-12",2.58,
"CHL","STINT","TOT","PC_PA","M","2004-01",1.8,
