"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TERMTRADE","TOT","RT","A","1993",48.2739772054207,
"AUS","TERMTRADE","TOT","RT","A","1994",49.8537720269208,
"AUS","TERMTRADE","TOT","RT","A","1995",51.4428132361644,
"AUS","TERMTRADE","TOT","RT","A","1996",52.9644355291259,
"AUS","TERMTRADE","TOT","RT","A","1997",52.6712542612026,
"AUS","TERMTRADE","TOT","RT","A","1998",50.0809125255851,
"AUS","TERMTRADE","TOT","RT","A","1999",52.0865091780904,
"AUS","TERMTRADE","TOT","RT","A","2000",52.9575184189748,
"AUS","TERMTRADE","TOT","RT","A","2001",53.7374698081858,
"AUS","TERMTRADE","TOT","RT","A","2002",54.5366405407286,
"AUS","TERMTRADE","TOT","RT","A","2003",58.6041928075918,
"AUS","TERMTRADE","TOT","RT","A","2004",64.1518967311959,
"AUS","TERMTRADE","TOT","RT","A","2005",70.9962370520503,
"AUS","TERMTRADE","TOT","RT","A","2006",76.0666304669916,
"AUS","TERMTRADE","TOT","RT","A","2007",80.3574800368084,
"AUS","TERMTRADE","TOT","RT","A","2008",86.1493566569366,
"AUS","TERMTRADE","TOT","RT","A","2009",83.0310652936643,
"AUS","TERMTRADE","TOT","RT","A","2010",100,
"AUS","TERMTRADE","TOT","RT","A","2011",100.499487786908,
"AUS","TERMTRADE","TOT","RT","A","2012",90.9036258150901,
"AUS","TERMTRADE","TOT","RT","A","2013",87.4592795847074,
"AUS","TERMTRADE","TOT","RT","A","2014",78.3575800408195,
"AUS","TERMTRADE","TOT","RT","A","2015",70.5089202622872,
"AUS","TERMTRADE","TOT","RT","A","2016",80.5806173884621,
"AUS","TERMTRADE","TOT","RT","A","2017",82.0902374773593,
"AUT","TERMTRADE","TOT","RT","A","1993",106.174112152571,"E"
"AUT","TERMTRADE","TOT","RT","A","1994",106.496491221503,"E"
"AUT","TERMTRADE","TOT","RT","A","1995",106.874263942892,
"AUT","TERMTRADE","TOT","RT","A","1996",105.299936353295,
"AUT","TERMTRADE","TOT","RT","A","1997",104.16184603574,
"AUT","TERMTRADE","TOT","RT","A","1998",103.769101227522,
"AUT","TERMTRADE","TOT","RT","A","1999",103.24461708789,
"AUT","TERMTRADE","TOT","RT","A","2000",102.193259168806,
"AUT","TERMTRADE","TOT","RT","A","2001",102.409279958652,
"AUT","TERMTRADE","TOT","RT","A","2002",103.135655249222,
"AUT","TERMTRADE","TOT","RT","A","2003",103.963758766179,
"AUT","TERMTRADE","TOT","RT","A","2004",103.417427189615,
"AUT","TERMTRADE","TOT","RT","A","2005",102.590014344345,
"AUT","TERMTRADE","TOT","RT","A","2006",101.467026424574,
"AUT","TERMTRADE","TOT","RT","A","2007",101.029868679216,
"AUT","TERMTRADE","TOT","RT","A","2008",99.7822853927867,
"AUT","TERMTRADE","TOT","RT","A","2009",101.669875406672,
"AUT","TERMTRADE","TOT","RT","A","2010",100,
"AUT","TERMTRADE","TOT","RT","A","2011",98.2705942977161,
"AUT","TERMTRADE","TOT","RT","A","2012",97.7712908996834,
"AUT","TERMTRADE","TOT","RT","A","2013",97.9170162437334,
"AUT","TERMTRADE","TOT","RT","A","2014",98.8748690108097,
"AUT","TERMTRADE","TOT","RT","A","2015",100.438850099311,
"AUT","TERMTRADE","TOT","RT","A","2016",101.268338298658,
"AUT","TERMTRADE","TOT","RT","A","2017",99.9951195924146,
"AUT","TERMTRADE","TOT","RT","A","2018",99.3470178142538,
"BEL","TERMTRADE","TOT","RT","A","1993",107.040564334348,"E"
"BEL","TERMTRADE","TOT","RT","A","1994",106.552386723631,"E"
"BEL","TERMTRADE","TOT","RT","A","1995",106.448615872466,
"BEL","TERMTRADE","TOT","RT","A","1996",105.611030206867,
"BEL","TERMTRADE","TOT","RT","A","1997",105.210035121485,
"BEL","TERMTRADE","TOT","RT","A","1998",105.772989750577,
"BEL","TERMTRADE","TOT","RT","A","1999",104.824033721795,
"BEL","TERMTRADE","TOT","RT","A","2000",103.008708219863,
"BEL","TERMTRADE","TOT","RT","A","2001",103.070944043914,
"BEL","TERMTRADE","TOT","RT","A","2002",103.741773133853,
"BEL","TERMTRADE","TOT","RT","A","2003",103.384607742487,
"BEL","TERMTRADE","TOT","RT","A","2004",102.459007796045,
"BEL","TERMTRADE","TOT","RT","A","2005",101.746865698086,
"BEL","TERMTRADE","TOT","RT","A","2006",101.028369542128,
"BEL","TERMTRADE","TOT","RT","A","2007",101.181604383093,
"BEL","TERMTRADE","TOT","RT","A","2008",98.5397693342015,
"BEL","TERMTRADE","TOT","RT","A","2009",101.597565478961,
"BEL","TERMTRADE","TOT","RT","A","2010",100,
"BEL","TERMTRADE","TOT","RT","A","2011",98.8185611254928,
"BEL","TERMTRADE","TOT","RT","A","2012",98.6944724613309,
"BEL","TERMTRADE","TOT","RT","A","2013",98.9275800165458,
"BEL","TERMTRADE","TOT","RT","A","2014",99.1302881352242,
"BEL","TERMTRADE","TOT","RT","A","2015",99.9913180031366,
"BEL","TERMTRADE","TOT","RT","A","2016",100.595690513153,
"BEL","TERMTRADE","TOT","RT","A","2017",99.6929099337178,
"BEL","TERMTRADE","TOT","RT","A","2018",98.281567148389,
"CAN","TERMTRADE","TOT","RT","A","1993",83.5391994109397,
"CAN","TERMTRADE","TOT","RT","A","1994",83.0713856468858,
"CAN","TERMTRADE","TOT","RT","A","1995",85.2374432687846,
"CAN","TERMTRADE","TOT","RT","A","1996",86.7799613151107,
"CAN","TERMTRADE","TOT","RT","A","1997",86.0404235638733,
"CAN","TERMTRADE","TOT","RT","A","1998",82.6216912729098,
"CAN","TERMTRADE","TOT","RT","A","1999",83.7971725673265,
"CAN","TERMTRADE","TOT","RT","A","2000",87.3721560130128,
"CAN","TERMTRADE","TOT","RT","A","2001",86.4172555910694,
"CAN","TERMTRADE","TOT","RT","A","2002",84.3809986020526,
"CAN","TERMTRADE","TOT","RT","A","2003",89.0240947291971,
"CAN","TERMTRADE","TOT","RT","A","2004",92.9888932047905,
"CAN","TERMTRADE","TOT","RT","A","2005",96.2604201630671,
"CAN","TERMTRADE","TOT","RT","A","2006",97.2627854155428,
"CAN","TERMTRADE","TOT","RT","A","2007",100.18063686036,
"CAN","TERMTRADE","TOT","RT","A","2008",104.538615097955,
"CAN","TERMTRADE","TOT","RT","A","2009",94.9913087667987,
"CAN","TERMTRADE","TOT","RT","A","2010",100,
"CAN","TERMTRADE","TOT","RT","A","2011",103.357395511511,
"CAN","TERMTRADE","TOT","RT","A","2012",101.775926227816,
"CAN","TERMTRADE","TOT","RT","A","2013",102.418841577088,
"CAN","TERMTRADE","TOT","RT","A","2014",101.00232657785,
"CAN","TERMTRADE","TOT","RT","A","2015",93.8763728537926,
"CAN","TERMTRADE","TOT","RT","A","2016",92.7480887921067,
"CAN","TERMTRADE","TOT","RT","A","2017",95.7961886647769,
"CAN","TERMTRADE","TOT","RT","A","2018",96.2231937671854,
"CZE","TERMTRADE","TOT","RT","A","1993",87.923251474364,"E"
"CZE","TERMTRADE","TOT","RT","A","1994",91.8227977353282,"E"
"CZE","TERMTRADE","TOT","RT","A","1995",91.1558840893898,
"CZE","TERMTRADE","TOT","RT","A","1996",94.9365034099663,
"CZE","TERMTRADE","TOT","RT","A","1997",95.4240686674449,
"CZE","TERMTRADE","TOT","RT","A","1998",100.569365792117,
"CZE","TERMTRADE","TOT","RT","A","1999",99.8660495341147,
"CZE","TERMTRADE","TOT","RT","A","2000",96.8662182967752,
"CZE","TERMTRADE","TOT","RT","A","2001",99.6780132635062,
"CZE","TERMTRADE","TOT","RT","A","2002",103.27100663524,
"CZE","TERMTRADE","TOT","RT","A","2003",103.341579958072,
"CZE","TERMTRADE","TOT","RT","A","2004",104.502429410598,
"CZE","TERMTRADE","TOT","RT","A","2005",102.196594245278,
"CZE","TERMTRADE","TOT","RT","A","2006",100.125784310231,
"CZE","TERMTRADE","TOT","RT","A","2007",101.231135462818,
"CZE","TERMTRADE","TOT","RT","A","2008",99.9823832005193,
"CZE","TERMTRADE","TOT","RT","A","2009",102.018907369749,
"CZE","TERMTRADE","TOT","RT","A","2010",100,
"CZE","TERMTRADE","TOT","RT","A","2011",98.4527668985793,
"CZE","TERMTRADE","TOT","RT","A","2012",97.8927202204779,
"CZE","TERMTRADE","TOT","RT","A","2013",99.0342229893722,
"CZE","TERMTRADE","TOT","RT","A","2014",100.544722979379,
"CZE","TERMTRADE","TOT","RT","A","2015",100.932692634038,
"CZE","TERMTRADE","TOT","RT","A","2016",101.967649521209,
"CZE","TERMTRADE","TOT","RT","A","2017",100.927035119593,
"CZE","TERMTRADE","TOT","RT","A","2018",100.954930650691,
"DNK","TERMTRADE","TOT","RT","A","1993",91.950409642199,
"DNK","TERMTRADE","TOT","RT","A","1994",91.0683726690503,
"DNK","TERMTRADE","TOT","RT","A","1995",91.2045275268327,
"DNK","TERMTRADE","TOT","RT","A","1996",92.4341014539817,
"DNK","TERMTRADE","TOT","RT","A","1997",92.534040198111,
"DNK","TERMTRADE","TOT","RT","A","1998",92.215319046074,
"DNK","TERMTRADE","TOT","RT","A","1999",91.9821965344077,
"DNK","TERMTRADE","TOT","RT","A","2000",92.5678277205711,
"DNK","TERMTRADE","TOT","RT","A","2001",92.4836498461045,
"DNK","TERMTRADE","TOT","RT","A","2002",93.5167318080313,
"DNK","TERMTRADE","TOT","RT","A","2003",94.2472688525213,
"DNK","TERMTRADE","TOT","RT","A","2004",95.0531530684723,
"DNK","TERMTRADE","TOT","RT","A","2005",96.8106444430969,
"DNK","TERMTRADE","TOT","RT","A","2006",96.1526247985376,
"DNK","TERMTRADE","TOT","RT","A","2007",95.6393128818621,
"DNK","TERMTRADE","TOT","RT","A","2008",97.3701511331254,
"DNK","TERMTRADE","TOT","RT","A","2009",97.626589677741,
"DNK","TERMTRADE","TOT","RT","A","2010",100,
"DNK","TERMTRADE","TOT","RT","A","2011",98.1086773765996,
"DNK","TERMTRADE","TOT","RT","A","2012",98.6440974202731,
"DNK","TERMTRADE","TOT","RT","A","2013",99.6628755334016,
"DNK","TERMTRADE","TOT","RT","A","2014",101.207435124193,
"DNK","TERMTRADE","TOT","RT","A","2015",101.586732503228,
"DNK","TERMTRADE","TOT","RT","A","2016",102.3179772777,
"DNK","TERMTRADE","TOT","RT","A","2017",102.821062380657,
"DNK","TERMTRADE","TOT","RT","A","2018",101.241914192649,
"FIN","TERMTRADE","TOT","RT","A","1993",113.558933186488,
"FIN","TERMTRADE","TOT","RT","A","1994",115.698930590631,
"FIN","TERMTRADE","TOT","RT","A","1995",121.305449471301,
"FIN","TERMTRADE","TOT","RT","A","1996",120.253967356129,
"FIN","TERMTRADE","TOT","RT","A","1997",118.526024643709,
"FIN","TERMTRADE","TOT","RT","A","1998",120.659476581342,
"FIN","TERMTRADE","TOT","RT","A","1999",117.060673508107,
"FIN","TERMTRADE","TOT","RT","A","2000",112.7859527435,
"FIN","TERMTRADE","TOT","RT","A","2001",114.42876764633,
"FIN","TERMTRADE","TOT","RT","A","2002",114.256463213411,
"FIN","TERMTRADE","TOT","RT","A","2003",112.463606386811,
"FIN","TERMTRADE","TOT","RT","A","2004",109.943093334548,
"FIN","TERMTRADE","TOT","RT","A","2005",106.197190638392,
"FIN","TERMTRADE","TOT","RT","A","2006",102.869275862719,
"FIN","TERMTRADE","TOT","RT","A","2007",102.794897232983,
"FIN","TERMTRADE","TOT","RT","A","2008",100.836208250732,
"FIN","TERMTRADE","TOT","RT","A","2009",102.107816945446,
"FIN","TERMTRADE","TOT","RT","A","2010",100,
"FIN","TERMTRADE","TOT","RT","A","2011",98.428141734865,
"FIN","TERMTRADE","TOT","RT","A","2012",97.3884698609985,
"FIN","TERMTRADE","TOT","RT","A","2013",98.1075889905185,
"FIN","TERMTRADE","TOT","RT","A","2014",98.806553658212,
"FIN","TERMTRADE","TOT","RT","A","2015",101.469550457898,
"FIN","TERMTRADE","TOT","RT","A","2016",101.447835115281,
"FIN","TERMTRADE","TOT","RT","A","2017",100.889516141062,
"FIN","TERMTRADE","TOT","RT","A","2018",101.410779759341,
"FRA","TERMTRADE","TOT","RT","A","1993",104.073328378085,
"FRA","TERMTRADE","TOT","RT","A","1994",103.4219939566,
"FRA","TERMTRADE","TOT","RT","A","1995",102.345904732589,
"FRA","TERMTRADE","TOT","RT","A","1996",101.273702272891,
