"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADESERV","EXP","MLN_USD","Q","2000-Q1",4999.587,
"AUS","TRADESERV","EXP","MLN_USD","Q","2000-Q2",4660.505,
"AUS","TRADESERV","EXP","MLN_USD","Q","2000-Q3",5691.027,
"AUS","TRADESERV","EXP","MLN_USD","Q","2000-Q4",4754.208,
"AUS","TRADESERV","EXP","MLN_USD","Q","2001-Q1",4735.937,
"AUS","TRADESERV","EXP","MLN_USD","Q","2001-Q2",4465.148,
"AUS","TRADESERV","EXP","MLN_USD","Q","2001-Q3",4572.414,
"AUS","TRADESERV","EXP","MLN_USD","Q","2001-Q4",4478.868,
"AUS","TRADESERV","EXP","MLN_USD","Q","2002-Q1",4707.378,
"AUS","TRADESERV","EXP","MLN_USD","Q","2002-Q2",4889.303,
"AUS","TRADESERV","EXP","MLN_USD","Q","2002-Q3",4957.921,
"AUS","TRADESERV","EXP","MLN_USD","Q","2002-Q4",5480.545,
"AUS","TRADESERV","EXP","MLN_USD","Q","2003-Q1",5653.484,
"AUS","TRADESERV","EXP","MLN_USD","Q","2003-Q2",5519.152,
"AUS","TRADESERV","EXP","MLN_USD","Q","2003-Q3",6126.379,
"AUS","TRADESERV","EXP","MLN_USD","Q","2003-Q4",7270.615,
"AUS","TRADESERV","EXP","MLN_USD","Q","2004-Q1",7442.667,
"AUS","TRADESERV","EXP","MLN_USD","Q","2004-Q2",6805.374,
"AUS","TRADESERV","EXP","MLN_USD","Q","2004-Q3",6970.739,
"AUS","TRADESERV","EXP","MLN_USD","Q","2004-Q4",7803.438,
"AUS","TRADESERV","EXP","MLN_USD","Q","2005-Q1",8605.863,
"AUS","TRADESERV","EXP","MLN_USD","Q","2005-Q2",7256.181,
"AUS","TRADESERV","EXP","MLN_USD","Q","2005-Q3",7827.41,
"AUS","TRADESERV","EXP","MLN_USD","Q","2005-Q4",8450.589,
"AUS","TRADESERV","EXP","MLN_USD","Q","2006-Q1",8740.133,
"AUS","TRADESERV","EXP","MLN_USD","Q","2006-Q2",7974.347,
"AUS","TRADESERV","EXP","MLN_USD","Q","2006-Q3",8708.677,
"AUS","TRADESERV","EXP","MLN_USD","Q","2006-Q4",9911.145,
"AUS","TRADESERV","EXP","MLN_USD","Q","2007-Q1",10590.11,
"AUS","TRADESERV","EXP","MLN_USD","Q","2007-Q2",10030.97,
"AUS","TRADESERV","EXP","MLN_USD","Q","2007-Q3",10719.28,
"AUS","TRADESERV","EXP","MLN_USD","Q","2007-Q4",12388.68,
"AUS","TRADESERV","EXP","MLN_USD","Q","2008-Q1",13375.49,
"AUS","TRADESERV","EXP","MLN_USD","Q","2008-Q2",12324.45,
"AUS","TRADESERV","EXP","MLN_USD","Q","2008-Q3",12333.35,
