"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","M","1990-03",6.183625,
"AUS","UNEMP","TOT","PC_LF","M","1990-04",6.280397,
"AUS","UNEMP","TOT","PC_LF","M","1990-05",6.505319,
"AUS","UNEMP","TOT","PC_LF","M","1990-06",6.610586,
"AUS","UNEMP","TOT","PC_LF","M","1990-07",7.088516,
"AUS","UNEMP","TOT","PC_LF","M","1990-08",7.212669,
"AUS","UNEMP","TOT","PC_LF","M","1990-09",7.375276,
"AUS","UNEMP","TOT","PC_LF","M","1990-10",7.637765,
"AUS","UNEMP","TOT","PC_LF","M","1990-11",7.9467,
"AUS","UNEMP","TOT","PC_LF","M","1990-12",8.019522,
"AUS","UNEMP","TOT","PC_LF","M","1991-01",8.396748,
"AUS","UNEMP","TOT","PC_LF","M","1991-02",8.617528,
"AUS","UNEMP","TOT","PC_LF","M","1991-03",9.181495,
"AUS","UNEMP","TOT","PC_LF","M","1991-04",9.862487,
"AUS","UNEMP","TOT","PC_LF","M","1991-05",9.503978,
"AUS","UNEMP","TOT","PC_LF","M","1991-06",9.536111,
"AUS","UNEMP","TOT","PC_LF","M","1991-07",9.692405,
"AUS","UNEMP","TOT","PC_LF","M","1991-08",9.78861,
"AUS","UNEMP","TOT","PC_LF","M","1991-09",10.03401,
"AUS","UNEMP","TOT","PC_LF","M","1991-10",9.98795,
"AUS","UNEMP","TOT","PC_LF","M","1991-11",10.19874,
"AUS","UNEMP","TOT","PC_LF","M","1991-12",10.47408,
"AUS","UNEMP","TOT","PC_LF","M","1992-01",10.34686,
"AUS","UNEMP","TOT","PC_LF","M","1992-02",10.40589,
"AUS","UNEMP","TOT","PC_LF","M","1992-03",10.49596,
"AUS","UNEMP","TOT","PC_LF","M","1992-04",10.47209,
"AUS","UNEMP","TOT","PC_LF","M","1992-05",10.62015,
"AUS","UNEMP","TOT","PC_LF","M","1992-06",10.81356,
"AUS","UNEMP","TOT","PC_LF","M","1992-07",11.12698,
"AUS","UNEMP","TOT","PC_LF","M","1992-08",10.72385,
"AUS","UNEMP","TOT","PC_LF","M","1992-09",10.61797,
"AUS","UNEMP","TOT","PC_LF","M","1992-10",11.09203,
"AUS","UNEMP","TOT","PC_LF","M","1992-11",11.13707,
"AUS","UNEMP","TOT","PC_LF","M","1992-12",11.21777,
"AUS","UNEMP","TOT","PC_LF","M","1993-01",10.83419,
"AUS","UNEMP","TOT","PC_LF","M","1993-02",11.0152,
"AUS","UNEMP","TOT","PC_LF","M","1993-03",10.85788,
"AUS","UNEMP","TOT","PC_LF","M","1993-04",10.76724,
"AUS","UNEMP","TOT","PC_LF","M","1993-05",10.78736,
"AUS","UNEMP","TOT","PC_LF","M","1993-06",10.99556,
"AUS","UNEMP","TOT","PC_LF","M","1993-07",10.93651,
"AUS","UNEMP","TOT","PC_LF","M","1993-08",10.98454,
"AUS","UNEMP","TOT","PC_LF","M","1993-09",10.74308,
"AUS","UNEMP","TOT","PC_LF","M","1993-10",10.9581,
"AUS","UNEMP","TOT","PC_LF","M","1993-11",10.94965,
"AUS","UNEMP","TOT","PC_LF","M","1993-12",10.75671,
"AUS","UNEMP","TOT","PC_LF","M","1994-01",10.56947,
"AUS","UNEMP","TOT","PC_LF","M","1994-02",10.39961,
"AUS","UNEMP","TOT","PC_LF","M","1994-03",10.35371,
"AUS","UNEMP","TOT","PC_LF","M","1994-04",10.0628,
"AUS","UNEMP","TOT","PC_LF","M","1994-05",9.767332,
"AUS","UNEMP","TOT","PC_LF","M","1994-06",9.822086,
"AUS","UNEMP","TOT","PC_LF","M","1994-07",9.628174,
"AUS","UNEMP","TOT","PC_LF","M","1994-08",9.445412,
"AUS","UNEMP","TOT","PC_LF","M","1994-09",9.353292,
"AUS","UNEMP","TOT","PC_LF","M","1994-10",9.093083,
"AUS","UNEMP","TOT","PC_LF","M","1994-11",9.143259,
"AUS","UNEMP","TOT","PC_LF","M","1994-12",8.935569,
"AUS","UNEMP","TOT","PC_LF","M","1995-01",8.857965,
"AUS","UNEMP","TOT","PC_LF","M","1995-02",8.823882,
"AUS","UNEMP","TOT","PC_LF","M","1995-03",8.61711,
"AUS","UNEMP","TOT","PC_LF","M","1995-04",8.26726,
"AUS","UNEMP","TOT","PC_LF","M","1995-05",8.474893,
"AUS","UNEMP","TOT","PC_LF","M","1995-06",8.354912,
"AUS","UNEMP","TOT","PC_LF","M","1995-07",8.425032,
"AUS","UNEMP","TOT","PC_LF","M","1995-08",8.320402,
"AUS","UNEMP","TOT","PC_LF","M","1995-09",8.362074,
"AUS","UNEMP","TOT","PC_LF","M","1995-10",8.575465,
"AUS","UNEMP","TOT","PC_LF","M","1995-11",8.452105,
