"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","1999",35.7703801386688,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2000",35.974247353087,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2001",35.3376058881146,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2002",35.5276079635514,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2003",35.5392281451827,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2004",35.7032403675641,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2005",35.7857305894932,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2006",36.1400356865424,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2007",36.4685149091029,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2008",37.7611114153608,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2009",39.0320793976318,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2010",39.9958801760362,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2011",39.8895575466799,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2012",39.1796604378814,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2013",39.1314046466934,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2014",39.6075744535076,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2015",39.7306404188584,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2016",39.2377271719858,
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2017",39.0412565242202,"E"
"ESP","COMPEMPLOYEEACTY","SERV","PC_GVA","A","2018",39.2639305567811,"E"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1999",56.9290870474751,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2000",56.6600896752796,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2001",56.7501387267199,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2002",57.1781963613989,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2003",57.289755947491,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2004",56.8388258551958,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2005",56.9428498472654,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2006",56.9375942903563,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2007",56.2366607728732,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2008",56.3470092954895,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2009",57.8822565448108,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2010",57.8605955089304,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2011",57.8242361852294,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2012",58.2488901923667,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2013",58.3979922530359,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2014",58.462197039274,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2015",58.0147763671647,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2016",58.257853855438,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2017",58.6115341656568,"E"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2018",58.9156952066669,"E"
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","1999",0.601735391571272,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","2000",0.589485694105822,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","2001",0.575011187292487,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","2002",0.547519769107942,
"ESP","COMPEMPLOYEEACTY","AGR","PC_GVA","A","2003",0.519588999880475,
