"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","LF","TOT","THND_PER","M","1995-10",14716.6,
"CAN","LF","TOT","THND_PER","M","1995-11",14672,
"CAN","LF","TOT","THND_PER","M","1995-12",14736.5,
"CAN","LF","TOT","THND_PER","M","1996-01",14769.6,
"CAN","LF","TOT","THND_PER","M","1996-02",14810.2,
"CAN","LF","TOT","THND_PER","M","1996-03",14790.3,
"CAN","LF","TOT","THND_PER","M","1996-04",14780.8,
"CAN","LF","TOT","THND_PER","M","1996-05",14793.6,
"CAN","LF","TOT","THND_PER","M","1996-06",14866.2,
"CAN","LF","TOT","THND_PER","M","1996-07",14891.6,
"CAN","LF","TOT","THND_PER","M","1996-08",14859.5,
"CAN","LF","TOT","THND_PER","M","1996-09",14889.6,
"CAN","LF","TOT","THND_PER","M","1996-10",14892.2,
"CAN","LF","TOT","THND_PER","M","1996-11",14912.8,
"CAN","LF","TOT","THND_PER","M","1996-12",14918.8,
"CAN","LF","TOT","THND_PER","M","1997-01",14951.9,
"CAN","LF","TOT","THND_PER","M","1997-02",14961.8,
"CAN","LF","TOT","THND_PER","M","1997-03",14968.1,
"CAN","LF","TOT","THND_PER","M","1997-04",14986.5,
"CAN","LF","TOT","THND_PER","M","1997-05",15045.2,
"CAN","LF","TOT","THND_PER","M","1997-06",15066.2,
"CAN","LF","TOT","THND_PER","M","1997-07",15075.9,
"CAN","LF","TOT","THND_PER","M","1997-08",15143.7,
"CAN","LF","TOT","THND_PER","M","1997-09",15155.2,
"CAN","LF","TOT","THND_PER","M","1997-10",15180.5,
"CAN","LF","TOT","THND_PER","M","1997-11",15205.8,
"CAN","LF","TOT","THND_PER","M","1997-12",15158,
"CAN","LF","TOT","THND_PER","M","1998-01",15202.8,
"CAN","LF","TOT","THND_PER","M","1998-02",15217.1,
"CAN","LF","TOT","THND_PER","M","1998-03",15222.9,
"CAN","LF","TOT","THND_PER","M","1998-04",15238.5,
"CAN","LF","TOT","THND_PER","M","1998-05",15257.6,
"CAN","LF","TOT","THND_PER","M","1998-06",15284.1,
"CAN","LF","TOT","THND_PER","M","1998-07",15333.4,
"CAN","LF","TOT","THND_PER","M","1998-08",15341.4,
"CAN","LF","TOT","THND_PER","M","1998-09",15405.4,
"CAN","LF","TOT","THND_PER","M","1998-10",15392.5,
"CAN","LF","TOT","THND_PER","M","1998-11",15439.1,
"CAN","LF","TOT","THND_PER","M","1998-12",15459,
"CAN","LF","TOT","THND_PER","M","1999-01",15499.4,
"CAN","LF","TOT","THND_PER","M","1999-02",15486.6,
"CAN","LF","TOT","THND_PER","M","1999-03",15497.7,
"CAN","LF","TOT","THND_PER","M","1999-04",15592.5,
"CAN","LF","TOT","THND_PER","M","1999-05",15591.5,
"CAN","LF","TOT","THND_PER","M","1999-06",15553.3,
"CAN","LF","TOT","THND_PER","M","1999-07",15610.2,
"CAN","LF","TOT","THND_PER","M","1999-08",15610.6,
"CAN","LF","TOT","THND_PER","M","1999-09",15645.9,
"CAN","LF","TOT","THND_PER","M","1999-10",15640.3,
"CAN","LF","TOT","THND_PER","M","1999-11",15633.5,
"CAN","LF","TOT","THND_PER","M","1999-12",15671.1,
"CAN","LF","TOT","THND_PER","M","2000-01",15720.8,
"CAN","LF","TOT","THND_PER","M","2000-02",15753.3,
"CAN","LF","TOT","THND_PER","M","2000-03",15779.8,
"CAN","LF","TOT","THND_PER","M","2000-04",15787.2,
"CAN","LF","TOT","THND_PER","M","2000-05",15783.8,
"CAN","LF","TOT","THND_PER","M","2000-06",15807.8,
"CAN","LF","TOT","THND_PER","M","2000-07",15818.5,
"CAN","LF","TOT","THND_PER","M","2000-08",15883.5,
"CAN","LF","TOT","THND_PER","M","2000-09",15916.3,
"CAN","LF","TOT","THND_PER","M","2000-10",15955.7,
"CAN","LF","TOT","THND_PER","M","2000-11",15982.1,
"CAN","LF","TOT","THND_PER","M","2000-12",16003.2,
"CAN","LF","TOT","THND_PER","M","2001-01",15994.5,
"CAN","LF","TOT","THND_PER","M","2001-02",16004.4,
"CAN","LF","TOT","THND_PER","M","2001-03",16033.2,
"CAN","LF","TOT","THND_PER","M","2001-04",16066.9,
"CAN","LF","TOT","THND_PER","M","2001-05",16076.9,
"CAN","LF","TOT","THND_PER","M","2001-06",16085.1,
"CAN","LF","TOT","THND_PER","M","2001-07",16083.9,
"CAN","LF","TOT","THND_PER","M","2001-08",16112.4,
"CAN","LF","TOT","THND_PER","M","2001-09",16131.5,
"CAN","LF","TOT","THND_PER","M","2001-10",16159.8,
"CAN","LF","TOT","THND_PER","M","2001-11",16199.7,
"CAN","LF","TOT","THND_PER","M","2001-12",16276.1,
"CAN","LF","TOT","THND_PER","M","2002-01",16326.8,
"CAN","LF","TOT","THND_PER","M","2002-02",16334.7,
"CAN","LF","TOT","THND_PER","M","2002-03",16402.6,
"CAN","LF","TOT","THND_PER","M","2002-04",16438.8,
"CAN","LF","TOT","THND_PER","M","2002-05",16502.9,
"CAN","LF","TOT","THND_PER","M","2002-06",16556.3,
"CAN","LF","TOT","THND_PER","M","2002-07",16591.7,
"CAN","LF","TOT","THND_PER","M","2002-08",16650.8,
"CAN","LF","TOT","THND_PER","M","2002-09",16682.2,
"CAN","LF","TOT","THND_PER","M","2002-10",16684.3,
"CAN","LF","TOT","THND_PER","M","2002-11",16722.4,
