TIME,FTSE,BCBUTE02,BRBUFT02,BRVSLV02,BSSPFT02,BVBUTE02,CCUSMA02,CP080000,CSINFT,LOCOSTNO,PIEAMI01,SLRTCR03,XTEXVA01
1990-01-01,2337.300048828125,0.6,-2.9,23.4,28.2,3.8,33.51588616020431,53.15000000000001,50.2,101.50821474854,79.7883354423099,57.273310794228536,9.445748263118462
1990-02-01,2255.39990234375,-0.1,6.5,15.5,22.5,3.8,31.360527429961575,53.4,47.8,101.55102176542499,79.7883354423099,47.097705112994156,14.940425366291802
1990-03-01,2247.89990234375,-0.4,5.8,18.7,24.9,3.8,33.384163239585114,53.3,51.0,101.581492880072,79.7883354423099,57.32563991215513,5.04139090953863
1990-03-31,2103.39990234375,-8.045161290322582,5.219354838709678,14.441935483870967,29.25483870967742,3.8,32.63324848156178,53.20322580645161,50.322580645161295,101.59908698828909,79.7883354423099,46.85319877150428,14.55358564650676
1990-04-01,2111.456575520833,-8.3,5.2,14.3,29.4,3.8,32.60821798962767,53.2,50.3,101.599673458563,79.7883354423099,46.504117400149234,14.870658804405696
1990-04-30,2345.10009765625,-9.073333333333334,3.653333333333333,24.64333333333333,27.27333333333333,3.8,29.647061001239962,53.49,50.39666666666667,101.60630017780204,79.7883354423099,50.49571055573179,19.336989590769466
1990-05-01,2346.051710559476,-9.1,3.6,25.0,27.2,3.8,29.544952139571425,53.5,50.4,101.606528685362,79.7883354423099,50.63335169902774,19.4910009971958
1990-05-31,2374.60009765625,-9.777419354838711,3.1161290322580646,25.0,25.554838709677423,3.8,27.022604281136285,53.59677419354839,52.23870967741935,101.60281126588751,79.7883354423099,42.400415403772435,20.73433415890661
1990-06-01,2372.9867594401044,-9.8,3.1,25.0,25.5,3.8,26.938526019188448,53.6,52.3,101.602687351905,79.7883354423099,42.1259841939306,20.7757785976303
1990-06-30,2326.199951171875,-21.69,2.6166666666666667,22.486666666666665,26.273333333333333,3.8,25.041346577423944,53.6,47.08,101.58857621738261,79.7883354423099,27.705911568053214,18.20737217072984
1990-07-01,2320.928986580141,-22.1,2.6,22.4,26.3,3.8,24.975926596673446,53.6,46.9,101.588089626537,79.7883354423099,27.208667684402272,18.1188064318712
1990-07-31,2162.800048828125,-23.26129032258065,-5.9161290322580635,19.303225806451614,24.65483870967742,3.8,21.682508339843913,53.6,53.57741935483872,101.56028975980732,79.7883354423099,83.81821646879978,34.94224695135262
1990-08-01,2157.2323037424394,-23.3,-6.2,19.2,24.6,3.8,21.572727731282924,53.6,53.8,101.559363097583,79.7883354423099,85.70520142827971,35.503028302002
1990-08-31,1990.199951171875,-24.17096774193548,-7.16774193548387,28.296774193548387,23.05161290322581,3.8,21.800222125438747,56.50322580645162,56.99354838709678,101.51389241216592,79.7883354423099,47.481535545536346,26.29873884608758
1990-09-01,1992.2032877604167,-24.2,-7.2,28.6,23.0,3.8,21.80780527191061,56.6,57.1,101.512376722652,79.7883354423099,46.20741334944489,25.991929197557106
1990-09-30,2050.300048828125,-33.19,-8.07,23.67,24.74,3.8,20.248878464424795,58.00166666666666,45.21,101.44976587648443,79.7883354423099,39.71500570794239,31.25254291795493
1990-10-01,2053.3969192504883,-33.5,-8.1,23.5,24.8,3.8,20.195122367614943,58.05,44.8,101.447606881789,79.7883354423099,39.491129582373325,31.433943391072106
1990-11-01,2149.39990234375,-35.0,-1.4,26.2,21.5,3.8,19.439538899429323,58.5,42.7,101.37436115003,79.7883354423099,35.18850651326642,35.3734205182376
1990-12-01,2143.5,-36.2,-2.2,29.0,17.1,3.8,20.916325888240173,58.6,33.3,101.29297865289,79.7883354423099,23.80778805002086,17.6290349341189
